Room,Door,Lead to,Logic,Status,Comment,Aloha Suggested (Enhanced version),notes,TODO comments (delete when DONE)
Estate 9,Estate09HiddenRight,Estate10Left,(Estate09LowerLeft | Estate09Upper | Estate09UpperLeft) + dive,Not Labbed,,N/A,,
Estate 9,Estate09LowerLeft,Estate11Right,(Estate09HiddenRight | Estate09Upper | Estate09UpperLeft) + dive,Not Labbed,,N/A,,
Estate 9,Estate09Upper,Estate06Lower,(Estate09HiddenRight | Estate09LowerLeft | Estate09UpperLeft) + dive,Not Labbed,,N/A,,
Estate 9,Estate09UpperLeft,Estate08Right,(Estate09HiddenRight | Estate09LowerLeft | Estate09Upper) + dive,Not Labbed,,N/A,,
Estate 10,Estate10Left,Estate09HiddenRight,None,Not Labbed,,N/A,,
Estate 11,Estate11Left,Estate12Right,Estate11Right + dive,Not Labbed,,N/A,,
Estate 11,Estate11Right,Estate09LowerLeft,Estate11Left + dive,Not Labbed,,N/A,,
Estate 12,Estate12Left,Forest09LowerRight,(Estate12Right | Estate12Upper) + dive,Not Labbed,,N/A,,
Estate 12,Estate12Right,Estate11Left,(Estate12Left | Estate12Upper) + dive,Not Labbed,,N/A,,
Estate 12,Estate12Upper,Estate07Lower,(Estate12Left | Estate12Right) + dive,Not Labbed,,N/A,,
Factory 1,Factory01Left,Factory02UpperRight,None,Not Labbed,,N/A,,
Factory 2,Factory02HiddenCenterRight,Factory19UpperLeft,"(Factory02UpperRight | Factory02UpperCenterRight | Factory02UpperLeft) + (high_jump | wall_grab)
| (Factory02LowerLeft | Factory02LowerRight) + (high_jump | hook + wall_grab)",Not Labbed,,,,
Factory 2,Factory02LowerLeft,Factory04Right,"(Factory02UpperLeft | Factory02LowerRight | Factory02HiddenCenterRight | Factory02UpperCenterRight | Factory02UpperRight) 
+ dive",Unsure,Do we want to add pile_attack + moon for some dive skipping?,"(Factory02UpperLeft | Factory02LowerRight | Factory02HiddenCenterRight | Factory02UpperCenterRight | Factory02UpperRight) 
+ (dive | pile_attack + moon)",,
Factory 2,Factory02LowerRight,Factory19LowerLeft,Factory02UpperLeft | Factory02LowerLeft | Factory02HiddenCenterRight | Factory02UpperCenterRight | Factory02UpperRight,Not Labbed,,N/A,,
Factory 2,Factory02UpperCenterRight,Factory03Left,"Factory02UpperLeft | Factory02UpperRight | Factory02HiddenCenterRight 
| (Factory02LowerLeft | Factory02LowerRight) + (high_jump | hook)",Not Labbed,,,,
Factory 2,Factory02UpperLeft,Factory05Right,"(Factory02LowerLeft | Factory02LowerRight) + (high_jump | hook)
| (Factory02HiddenCenterRight | Factory02UpperLeft | Factory02UpperRight) + (high_jump | hook | WALL_DASH + double_jump + dodge)
| Factory01Left + WALL_DASH + double_jump",Not Labbed,,,,
Factory 2,Factory02UpperRight,Factory01Left,"(Factory02UpperLeft + (wall_grab + double_jump | high_jump | WALL_DASH))
| ((Factory02LowerLeft | Factory02LowerRight) + (hook + wall_grab + double_jump | high_jump))
| ((Factory02UpperCenterRight | Factory02HiddenCenterRight) + (double_jump + wall_grab | high_jump))",Not Labbed,,,,
Factory 3,Factory03Left,Factory02UpperCenterRight,Factory03Right,Not Labbed,,N/A,,
Factory 3,Factory03Right,Garden14Left,Factory03Left + (double_jump | high_jump | wall_grab),Not Labbed,,,,
Factory 4,Factory04Left,Factory06Right,Factory04Right,Not Labbed,,N/A,,
Factory 4,Factory04Right,Factory02LowerLeft,Factory04Left + dive,Unsure,Do we want to add pile_attack + moon for some dive skipping?,Factory04Left + (dive | pile_attack + moon),,
Factory 5,Factory05Left,Factory09Right,Factory05Upper | Factory05Right + (wall_grab | high_jump | dodge + double_jump),Not Labbed,,,,
Factory 5,Factory05Right,Factory02UpperLeft,(Factory05Left | Factory05Upper) + (double_jump | wall_grab | high_jump),Not Labbed,,,,
Factory 5,Factory05Upper,Factory12Lower,(Factory05Left | Factory05Right) + high_jump,Not Labbed,,,,
Factory 6,Factory06LowerLeft,Factory10Right,Factory06Right | Factory06UpperLeft | Factory06Upper,Not Labbed,,N/A,,
Factory 6,Factory06Right,Factory04Left,"(Factory06LowerLeft + (double_jump | dodge | wall_grab)) 
| ((Factory06UpperLeft | Factory06Upper) + (double_jump | dodge | wall_grab | dash_charge))",Not Labbed,,,,
Factory 6,Factory06Upper,Factory09Lower,"(Factory06LowerLeft | Factory06Right) + (double_jump + dodge + (high_jump | hook) | WALL_DASH + (high_jump | double_jump) | high_jump + hook + (dodge | double_jump)) 
| Factory06UpperLeft + ((hook | WALL_DASH) + (double_jump | dodge) | high_jump + (WALL_DASH | dodge + double_jump))",Not Labbed,,,,
Factory 6,Factory06UpperLeft,Factory07Right,"((Factory06LowerLeft | Factory06Right) + ((double_jump + dodge) | high_jump)) 
| Factory06Upper",Not Labbed,,,,
Factory 7,Factory07Left,Factory08UpperRight,Factory07Right,Not Labbed,,N/A,,
Factory 7,Factory07Right,Factory06UpperLeft,Factory07Left,Not Labbed,,N/A,,
Factory 8,Factory08LowerRight,Factory10Left,Factory08UpperRight + (dodge | double_jump),Not Labbed,,,,
Factory 8,Factory08UpperRight,Factory07Left,Factory08LowerRight + ((hook | double_jump) + dodge),Not Labbed,,N/A,,
Factory 9,Factory09Lower,Factory06Upper,Factory09Right | Factory09Upper,Not Labbed,,N/A,,
Factory 9,Factory09Right,Factory05Left,Factory09Lower | Factory09Upper,Not Labbed,,N/A,,
Factory 9,Factory09Upper,Factory11Lower,"(Factory09Lower | Factory09Right) 
+ (high_jump | double_jump + wall_grab + hook + (dodge | wall_charge))",Not Labbed,,,,
Factory 10,Factory10Left,Factory08LowerRight,Factory10Right,Not Labbed,,N/A,,
Factory 10,Factory10Right,Factory06LowerLeft,Factory10Left,Not Labbed,,N/A,,
Factory 11,Factory11Lower,Factory09Upper,Factory11Right,Not Labbed,,N/A,,
Factory 11,Factory11Right,Factory12Left,Factory11Lower,Not Labbed,,N/A,,
Factory 12,Factory12Left,Factory11Right,"(Factory12Upper | Factory12Right) 
+ (high_jump | hook | (WALL_DASH + double_jump))",Not Labbed,,,,
Factory 12,Factory12Lower,Factory05Upper,None,Not Labbed,,N/A,,
Factory 12,Factory12Right,Factory13LowerLeft,(Factory12Left | Factory12Upper) + (high_jump | wall_grab + double_jump + (wall_charge | dodge + hook)),Not Labbed,,,,
Factory 12,Factory12Upper,Factory15Lower,(Factory12Left | Factory12Right) + high_jump,Not Labbed,,,,
Factory 13,Factory13LowerLeft,Factory12Right,"(Factory13UpperLeft | Factory13Right) 
+ (wall_grab | high_jump)",Not Labbed,,,,
Factory 13,Factory13Right,Factory14Left,(Factory13LowerLeft | Factory13UpperLeft) + (double_jump + (WALL_DASH | dodge)) + hook,Not Labbed,,,,
Factory 13,Factory13UpperLeft,Factory15Right,(Factory13Right | Factory13LowerLeft) + hook,Not Labbed,,,,
Factory 14,Factory14Left,Factory13Right,None,Not Labbed,,N/A,,
Factory 15,Factory15Lower,Factory12Upper,Factory15UpperLeft | Factory15Right,Not Labbed,,N/A,,
Factory 15,Factory15LowerLeft,Factory21Right,"(Factory15UpperLeft | Factory15Right) + (double_jump | dodge) + WALL_DASH
| Factory15Lower + high_jump + WALL_DASH",Not Labbed,,,,
Factory 15,Factory15Right,Factory13UpperLeft,"Factory15UpperLeft + hook 
| Factory15Lower + high_jump + (double_jump | dodge | hook)
| Factory16Right + high_jump + WALL_DASH
| Factory17Right + WALL_DASH",Not Labbed,,,,
Factory 15,Factory15UpperLeft,Factory16Right,"Factory15Right + (WALL_DASH | hook + (high_jump | double_jump + dodge)) 
| Factory15Lower + high_jump + (double_jump + dodge | hook)",Not Labbed,,,,
Factory 16,Factory16Left,Factory17Right,Factory16Right,Not Labbed,,N/A,,
Factory 16,Factory16Right,Factory15UpperLeft,Factory16Left,Not Labbed,,N/A,,
Factory 17,Factory17LowerLeft,Factory18UpperLeft,Factory17Right | Factory17LowerRight,Not Labbed,,N/A,,
Factory 17,Factory17LowerRight,Factory18UpperRight,None,Not Labbed,,N/A,,
Factory 17,Factory17Right,Factory16Left,Factory17LowerLeft | Factory17LowerRight,Not Labbed,,N/A,,
Factory 18,Factory18UpperLeft,Factory17LowerLeft,None,Not Labbed,,N/A,,
Factory 18,Factory18UpperRight,Factory17LowerRight,Factory18UpperLeft + high_jump,Not Labbed,,N/A,,
Factory 19,Factory19LowerLeft,Factory02LowerRight,None,Not Labbed,,N/A,,
Factory 19,Factory19UpperLeft,Factory02HiddenCenterRight,None,Not Labbed,,N/A,,
Factory 21,Factory21Right,Factory15LowerLeft,None,Not Labbed,,N/A,,
Forest 1,Forest01Left,Tower17Right,Forest01RightDoor | Forest01UpperDoor,Not Labbed,,N/A,,
Forest 1,Forest01RightDoor,Forest02LowerLeftDoor,Forest01UpperDoor | Forest01Left + (double_jump | RONIN | STALL + (dodge | grav) | high_jump | wall_grab | REIBOLG),Done,"probably some leg enhancement and pile attack options as well

pile_attack + (STALL | dodge)",Finished,"Starting point from Items+Transitions

line 353 ref",
Forest 1,Forest01UpperDoor,Forest12LeftDoor,None,Not Labbed,,N/A,,
Forest 2,Forest02LowerDoor,Forest04UpperCenterDoor,Forest02LowerLeftDoor | Forest02UpperLeftDoor | Forest02Right | Forest02UpperRightDoor,Not Labbed,,N/A,,
Forest 2,Forest02LowerLeftDoor,Forest01RightDoor,Forest02LowerDoor | Forest02UpperLeftDoor | Forest02Right | Forest02UpperRightDoor,Not Labbed,,N/A,,
Forest 2,Forest02Right,Forest03Left,(Forest02LowerLeftDoor | Forest02UpperLeftDoor | Forest02LowerDoor | Forest02UpperRightDoor) + Forest02Right_Lever,Not Labbed,,N/A,,
Forest 2,Forest02UpperLeftDoor,Forest06CenterDoor,Forest02LowerLeftDoor | Forest02LowerDoor | Forest02UpperRightDoor | Forest02Right,Not Labbed,,N/A,,
Forest 2,Forest02UpperRightDoor,Forest05CenterLowerDoor,(Forest02Right | Forest02UpperLeftDoor | Forest02LowerLeftDoor | Forest02LowerDoor) + (high_jump | WALL_DASH | double_jump | axe + (dodge | REIBOLG | flower) | (sword | scythe) + (flower | REIBOLG + dodge) | snow | moon | (flower | STALL | REIBOLG) + grav),Done,this is using item logic,Finished,"Starting point from Items+Transitions

line 359 ref",
Forest 3,Forest03Left,Forest02Right,Forest03LowerRightDoor | Forest03UpperRightDoor | Forest03UpperDoor,Not Labbed,,N/A,,
Forest 3,Forest03LowerRightDoor,Forest09CenterRightDoor,(Forest03Left | Forest03UpperRightDoor | Forest03UpperDoor) + Forest03Right_Lever,Not Labbed,,N/A,,
Forest 3,Forest03UpperDoor,Forest07LeftDoor,Forest03UpperRightDoor | (Forest03Left | Forest03LowerRightDoor) + (double_jump | moon | snow | grav + STALL | FLOWER2 | high_jump | axe + (dodge | granade) | (sword | scythe) + dodge + REIBOLG | grav + granade),Done,"Removed reqs for UpperRightDoor - just sprint

pile_attack + scythe + dodge
grav + (lazer | blaster) + leg enhancement",Finished,"Starting point from Items+Transitions

line 368 ref",
Forest 3,Forest03UpperRightDoor,Forest19LeftDoor,Forest03UpperDoor | (Forest03Left | Forest03LowerRightDoor) + (double_jump | moon | snow | grav + STALL | FLOWER2 | high_jump | axe + (dodge | granade) | (sword | scythe) + dodge + REIBOLG | grav + granade),Done,"same as above (line 122) just with UpperDoor and UpperRightDoor swapped

Removed reqs for UpperDoor - just sprint",Finished,"Starting point from Items+Transitions

line 367 ref",
Forest 4,Forest04LowerCenterLeftDoor,Forest09CenterLeftDoor,"Forest04UpperLeftDoor | Forest04LowerLeftDoor 
| (Forest04LowerCenterRightDoor | Forest04UpperRightDoor | Forest04UpperCenterDoor) + (high_jump | wall_grab | dodge + snow | STALL + (snow | dodge + (double_jump | RONIN)) | dodge + grav + (sword + REIBOLG | axe | scythe) | double_jump + (snow | STALL + (moon | flower | grav) | dodge + (flower | moon | lazer + grav)))",Done,Same as item requirements (line 49 - Forest 4 - Charmed Fragment),Finished,"Starting point from Items+Transitions

line 375 ref",
Forest 4,Forest04LowerCenterRightDoor,Forest09CenterDoor,"Forest04UpperCenterDoor | Forest04UpperRightDoor 
| (Forest04LowerLeftDoor | Forest04UpperLeftDoor) + (double_jump | high_jump | (STALL | flower) + grav | moon | snow | wall_grab | dodge + axe)",Done,"Same as item requirements (line 49 - Forest 4 - Charmed Fragment)

scythe (or sword?) + dodge + pile_attack or leg enhancement might be ok",Finished,"Starting point from Items+Transitions

line 372 ref",
Forest 4,Forest04LowerLeftDoor,Forest09LeftDoor,"Forest04UpperLeftDoor |
 (Forest04UpperCenterDoor | Forest04UpperRightDoor | Forest04LowerCenterRightDoor) + (high_jump | wall_grab | dodge + snow | STALL + (snow | dodge + (double_jump | RONIN)) | dodge + grav + (sword + REIBOLG | axe | scythe) | double_jump + (snow | STALL + (moon | flower | grav) | dodge + (flower | moon | lazer + grav)))",Done,same as 124 (2 above),Finished,"Starting point from Items+Transitions

line 373 ref",
Forest 4,Forest04LowerRightDoor,Forest18LowerLeftDoor,"Forest04UpperLeftDoor | Forest04LowerLeftDoor | Forest04LowerCenterLeftDoor 
| (Forest04UpperCenterDoor | Forest04UpperRightDoor | Forest04LowerCenterRightDoor) 
+ (high_jump | wall_grab | dodge + snow | STALL + (snow | dodge + (double_jump | RONIN)) | dodge + grav + (sword + REIBOLG | axe | scythe) | double_jump + (snow | STALL + (moon | flower | grav) | dodge + (flower | moon | lazer + grav)))",Done,same as 126 (above),Finished,"Starting point from Items+Transitions

line 376 ref",
Forest 4,Forest04UpperCenterDoor,Forest02LowerDoor,"Forest04UpperRightDoor + (wall_grab | STALL | double_jump | RONIN | dodge | high_jump | REIBOLG + grav) 
| Forest04LowerCenterRightDoor + (wall_grab | double_jump | moon | snow | grav + STALL | FLOWER2 | high_jump | axe + dodge) 
|  (Forest04LowerLeftDoor | Forest04UpperLeftDoor) + (double_jump | moon | snow | grav + STALL | high_jump | wall_grab | FLOWER2 | dodge + axe)",Done,,Finished,"Starting point from Items+Transitions

line 370 ref",
Forest 4,Forest04UpperLeftDoor,Forest12LowerRightDoor,"Forest04LowerLeftDoor + (high_jump | double_jump | dodge + wall_grab | WALL_DASH) 
| (Forest04UpperCenterDoor | Forest04LowerCenterRightDoor | Forest04UpperRightDoor) 
+ (high_jump | wall_grab + (double_jump | dodge | wall_charge))",Not Labbed,,"Forest04LowerLeftDoor + (double_jump | moon | snow | grav + STALL | high_jump | wall_grab | dodge + (axe | scythe) | flower + (STALL | grav)) 
| (Forest04UpperCenterDoor | Forest04LowerCenterRightDoor | Forest04UpperRightDoor) + (high_jump | wall_grab | grav + (sword + dodge + moon | (axe | scythe) + (RONIN | dodge)) | STALL + (double_jump + (moon | snow | grav) | dodge + (moon | snow) | grav + snow)) | flower + dodge + (axe | scythe))","Starting point from Items+Transitions

line 374 ref",
Forest 4,Forest04UpperRightDoor,Forest18CenterLeftDoor,"Forest04UpperCenterDoor 
| Forest04LowerCenterRightDoor + (wall_grab | high_jump | double_jump)
| (Forest04UpperLeftDoor | Forest04LowerLeftDoor) 
+ (wall_grab + double_jump | high_jump)",Not Labbed,,"Forest04UpperCenterDoor 
| Forest04LowerCenterRightDoor + (wall_grab | double_jump | moon | snow | grav + STALL | FLOWER2 | high_jump | axe + dodge) 
| (Forest04UpperLeftDoor | Forest04LowerLeftDoor) + (double_jump | moon | snow | grav + STALL | high_jump | wall_grab | FLOWER2 | dodge + axe)","Starting point from Items+Transitions

line 371 ref",
Forest 5,Forest05CenterLowerDoor,Forest02UpperRightDoor,Forest05CenterUpperDoor | Forest05RightDoor | Forest05LeftDoor,Not Labbed,,N/A,,
Forest 5,Forest05CenterUpperDoor,Forest06LowerRightDoor,(Forest05CenterLowerDoor | Forest05RightDoor | Forest05LeftDoor) + (double_jump + wall_grab + (dodge | wall_charge) | high_jump),Not Labbed,,(Forest05CenterLowerDoor | Forest05RightDoor | Forest05LeftDoor) + (high_jump | (double_jump | moon | snow | grav + STALL) + wall_grab | grav + double_jump + dodge + (sword + RONIN | axe | scythe) | grav + (scythe | axe) + (double_jump | dodge) + RONIN) | axe + double_jump + dodge + snow),"Starting point from Items+Transitions

line 380 ref",
Forest 5,Forest05LeftDoor,Forest12UpperRightDoor,Forest05CenterUpperDoor | Forest05RightDoor | Forest05CenterLowerDoor,Not Labbed,,N/A,,
Forest 5,Forest05RightDoor,Forest10LowerLeftDoor,Forest05CenterUpperDoor | Forest05CenterLowerDoor | Forest05LeftDoor,Not Labbed,,N/A,,
Forest 6,Forest06CenterDoor,Forest02UpperLeftDoor,"Forest06Left + (double_jump | high_jump | WALL_DASH | dodge)
| Forest06LowerLeftDoor + (double_jump | high_jump | WALL_DASH | dodge + wall_grab)",Not Labbed,I want to remove Forest06Left,"Forest06Left + (double_jump | high_jump | WALL_DASH | dodge)
| Forest06LowerLeftDoor + (wall_grab + (STALL | wall_charge) | double_jump | moon | snow | grav + STALL | high_jump | flower + (axe | scythe | grav) | (axe | scythe) + dodge)","Starting point from Items+Transitions

line 385 ref",
Forest 6,Forest06HiddenRight,Forest07Left,"Forest06Left + (double_jump | dodge | high_jump | WALL_DASH) 
| (Forest06LowerLeftDoor + (((wall_grab | double_jump) + dodge) | high_jump | WALL_DASH))
| (Forest06CenterDoor  + (double_jump + (dodge | WALL_DASH) | high_jump)) 
| (Forest06LowerRightDoor + high_jump)",Not Labbed,I want to remove Forest06Left,"Forest06Left + (double_jump | dodge | high_jump | WALL_DASH) 
| Forest06LowerLeftDoor + (wall_grab + (STALL | wall_charge) | double_jump | moon | snow | grav + STALL | high_jump | flower + (axe | scythe | grav) | (axe | scythe) + dodge) 
| Forest06CenterDoor  + (double_jump | moon | snow | grav + STALL | high_jump | FLOWER2 | (axe | scythe) + dodge) 
| Forest06LowerRightDoor + (high_jump | STALL + (double_jump + (moon | snow) | grav + dodge + (MOON | SNOW) | double_jump + dodge) | WALL_DASH + double_jump)","Starting point from Items+Transitions

line 388 ref",
Forest 6,Forest06Left,Forest11Right,"(Forest06LowerLeftDoor + (wall_grab | high_jump | double_jump)
| Forest06CenterDoor + (high_jump | double_jump)) + dash_charge",Not Labbed,,,,
Forest 6,Forest06LowerLeftDoor,Forest12UpperDoor,"Forest06Left
| (Forest06CenterDoor + (double_jump | high_jump))",Not Labbed,I want to remove Forest06Left,"Forest06Left
| Forest06CenterDoor + (double_jump | moon | snow | grav + STALL | high_jump | FLOWER2 | (axe | scythe) + dodge)","Starting point from Items+Transitions

line 386 ref",
Forest 6,Forest06LowerRightDoor,Forest05CenterUpperDoor,"Forest06HiddenRight 
| (Forest06Left + (double_jump | dodge | high_jump | WALL_DASH))
| (Forest06LowerLeftDoor + (((double_jump | wall_grab) + dodge) | high_jump | WALL_DASH))
| (Forest06CenterDoor  + (double_jump + (dodge | WALL_DASH) | high_jump))",Not Labbed,,"Forest07Left | Forest05UpperDoor 
| Forest12UpperLeftDoor + (wall_grab + (STALL | wall_charge) | double_jump | moon | snow | grav + STALL | high_jump | flower + (axe | scythe | grav) | (axe | scythe) + dodge) 
| Forest02UpperLeft + (double_jump | moon | snow | grav + STALL | high_jump | FLOWER2 | (axe | scythe) + dodge)","Starting point from Items+Transitions

line 384 ref

fix entrance names",
Forest 7,Forest07CenterDoor,Forest10UpperLeftDoor,"(Forest07LeftDoor + (wall_grab | high_jump)) 
| Forest07Right + (wall_grab + (double_jump | dodge | wall_charge) | high_jump)",Not Labbed,,"Forest08Left + (high_jump | wall_grab | STALL + dodge + double_jump + grav | double_jump + dodge + (axe | scythe) + (moon | snow)) 
| Forest03Upper + (high_jump | wall_grab | STALL + dodge + double_jump + grav | double_jump + axe + snow | double_jump + dodge + moon + (axe | scythe))","Starting point from Items+Transitions

line 392 ref

fix entrance names",
Forest 7,Forest07Left,Forest06HiddenRight,None,Not Labbed,,N/A,,
Forest 7,Forest07Right,Forest08Left,"(Forest07CenterDoor + (double_jump | high_jump | WALL_DASH)) 
| (Forest07LeftDoor + (wall_grab + (double_jump | wall_charge) | high_jump))",Not Labbed,,Forest08Left | Forest03Upper + (high_jump | wall_grab | STALL + dodge + double_jump + grav | double_jump + axe + snow | double_jump + dodge + moon + (axe | scythe)),"Starting point from Items+Transitions

line 393 ref

fix entrance names",
