Room,Door,Lead to,Logic,Status,Notes
Factory 12,Factory12Right,Factory13LowerLeft,(Factory12Left | Factory12Upper) + high_jump | (wall_grab + double_jump + (wall_charge | (dodge + hook)),Done,Factory12Upper could skip some requirements but I have tested using a straight fall (dodge | djump could get us to right exit)
Factory 12,Factory12Upper,Factory15Lower,Factory12Left | Factory12Right + high_jump,Done,
Factory 13,Factory13LowerLeft,Factory12Right,"(Factory13UpperLeft | Factory13Right) 
+ (wall_grab | high_jump)",Done,
Factory 13,Factory13Right,Factory14Left,(Factory13LowerLeft | Factory13UpperLeft) + (double_jump + (WALL_DASH | dodge)) + hook,Done,Should this room require softlock preventtion if we fall to the bottom (always require high_jump or wall_grab)?
Factory 13,Factory13UpperLeft,Factory15Right,Factory13Right | Factory13LowerLeft + hook,Done,
Factory 14,Factory14Left,Factory13Right,None,Done,
Factory 15,Factory15Lower,Factory12Upper,Factory15LowerLeft | Factory15UpperLeft | Factory15Right,Done,
Factory 15,Factory15LowerLeft,Factory21Right,Factory12Right + high_jump + wall_dash,Unsure,Can only dash from a platform reached from the room below
Factory 15,Factory15Right,Factory13UpperLeft,"(Factory15UpperLeft 
| (Factory15LowerLeft + high_jump) 
+ hook",Done,
Factory 15,Factory15UpperLeft,Factory16Right,"(Factory15Right + (WALL_DASH | ( hook + (high_jump | (double_jump + dodge))))) 
| (Factory15LowerLeft + high_jump + (double_jump | hook))",Done,
Factory 16,Factory16Left,Factory17Right,Factory16Right,Done,
Factory 16,Factory16Right,Factory15UpperLeft,Factory16Left,Done,
Factory 17,Factory17LowerLeft,Factory18UpperLeft,Factory17Right | Factory17LowerRight,Done,
Factory 17,Factory17LowerRight,Factory18UpperRight,None,Done,
Factory 17,Factory17Right,Factory16Left,Factory17Left | Factory17LowerRight,Done,
Factory 18,Factory18UpperLeft,Factory17LowerLeft,None,Done,
Factory 18,Factory18UpperRight,Factory17LowerRight,Factory18UpperLeft + high_jump,Done,
Factory 19,Factory19LowerLeft,Factory02LowerRight,None,Done,
Factory 19,Factory19UpperLeft,Factory02HiddenCenterRight,None,Done,
Factory 21,Factory21Right,Factory15LowerLeft,None,Done,
Forest 1,Forest01Left,Tower17Right,Forest01RightDoor | Forest01UpperDoor,Done,
Forest 1,Forest01RightDoor,Forest02LowerLeftDoor,Forest01UpperDoor | (Forest01Left + (high_jump | double_jump | wall_grab),Done,
Forest 1,Forest01UpperDoor,Forest12LeftDoor,None,Done,
Forest 2,Forest02LowerDoor,Forest04UpperCenterDoor,Forest02LowerLeftDoor | Forest02UpperLeftDoor | Forest02Right | Forest02UpperRightDoor,Done,
Forest 2,Forest02LowerLeftDoor,Forest01RightDoor,Forest02LowerDoor | Forest02UpperLeftDoor | Forest02Right | Forest02UpperRightDoor,Done,
Forest 2,Forest02Right,Forest03Left,(Forest02LowerLeftDoor | Forest02UpperLeftDoor | Forest02LowerDoor | Forest02UpperRight Door) + Forest02Right_Lever,Done,
Forest 2,Forest02UpperLeftDoor,Forest06CenterDoor,Forest02LowerLeftDoor | Forest02LowerDoor | Forest02UpperRightDoor | Forest02Right,Done,
Forest 2,Forest02UpperRightDoor,Forest05CenterLowerDoor,Forest02LowerLeftDoor | Forest02LowerDoor | Forest02UpperLeftDoor | Forest02Right,Done,
Forest 2,Forest02Right_Lever,,Forest02Right,Done,
Forest 3,Forest03Left,Forest02Right,Forest03LowerRightDoor | Forest03UpperRightDoor | Forest03UpperDoor,Done,
Forest 3,Forest03LowerRightDoor,Forest09CenterRightDoor,(Forest03Left | Forest03UpperRightDoor | Forest03UpperDoor) + Forest03Right_Lever,Done,
Forest 3,Forest03UpperDoor,Forsest07LowerDoor,"(Forest03UpperRightDoor + (double_jump | high_jump | dodge)) 
| (Forest03Left | Forest03LowerRight) 
+ (double_jump | high_jump)",Done,
Forest 3,Forest03UpperRightDoor,Forest19LeftDoor,"Forest03UpperDoor + (double_jump | high_jump | dodge) 
| (Forest03Left | Forest03LowerRight) + (double_jump | high_jump)",Done,
Forest 3,Forest03Right_Lever,,Forest03LowerRight,Done,
Forest 4,Forest04LowerCenterLeftDoor,Forest09CenterLeftDoor,"(Forest04UpperLeftDoor | Forest04LowerLeftDoor) 
| ((Forest04UpperCenterDoor | Forest04LowerCenterRightDoor | Forest04UpperRightDoor) 
+ (high_jump | wall_grab))",Done,
Forest 4,Forest04LowerCenterRightDoor,Forest09CenterDoor,"Forest04UpperCenterDoor | Forest04UpperRightDoor 
| ((Forest04LowerLeftDoor | Forest04UpperLeftDoor) 
+ (high_jump | double_jump | WALL_DASH))",Done,
Forest 4,Forest04LowerLeftDoor,Forest09LeftDoor,"Forest04UpperLeftDoor |
 ((Forest04UpperCenterDoor | Forest04UpperRightDoor | Forest04LowerCenterRightDoor) 
+ (high_jump | wall_grab))",Done,
Forest 4,Forest04LowerRightDoor,Forest18LowerLeftDoor,"(Forest04UpperLeftDoor | Forest04LowerLeftDoor | Forest04LowerCenterLeftDoor) 
| ((Forest04UpperCenterDoor | Forest04UpperRightDoor | Forest04LowerCenterRightDoor) 
+ (high_jump | wall_grab))",Done,
Forest 4,Forest04UpperCenterDoor,Forest02LowerDoor,"(Forest04UpperRightDoor + (high_jump | double_jump | dodge | WALL_DASH)) 
| (Forest04LowerCenterRightDoor + (high_jump | double_jump | WALL_DASH)) 
| (Forest04LowerLeftDoor + ((double_jump + wall_grab) | (WALL_DASH | high_jump))) 
| (Forest04UpperLeftDoor + ((double_jump | dodge) + wall_grab) | (high_jump | WALL_DASH))",Done,
Forest 4,Forest04UpperLeftDoor,Forest12LowerRightDoor,"(Forest04LowerLeftDoor + (high_jump | double_jump | WALL_DASH)) 
| ((Forest04UpperCenterDoor | Forest04LowerCenterRightDoor | Forest04UpperRightDoor) 
+ (high_jump | wall_grab))",Done,
Forest 4,Forest04UpperRightDoor,Forest18CenterLeftDoor,"Forest04UpperCenterDoor | 
((Forest04UpperLeftDoor | Forest04LowerLeftDoor) 
+ (wall_grab + double_jump) | high_jump))",Done,
Forest 5,Forest05CenterLowerDoor,Forest02UpperRightDoor,Forest05CenterUpperDoor | Forest05RightDoor | Forest05LeftDoor,Done,
Forest 5,Forest05CenterUpperDoor,Forest06CenterDoor,(Forest05CenterLowerDoor | Forest05RightDoor | Forest05LeftDoor) + ((double_jump + wall_grab + (dodge | wall_charge)) | high_jump),Done,
Forest 5,Forest05LeftDoor,Forest12UpperRightDoor,Forest05CenterUpperDoor | Forest05RightDoor | Forest05LowerCenterDoor,Done,
Forest 5,Forest05RightDoor,Forest10LowerLeftDoor,Forest05CenterUpperDoor | Forest05CenterLowerDoor | Forest05LeftDoor,Done,
Forest 6,Forest06CenterDoor,Forest02UpperLeftDoor,"Forest06Left + (Forest11Right + dash_charge) 
| Forest06LowerLeftDoor + (double_jump | high_jump | WALL_DASH)",Done,
Forest 6,Forest06HiddenRight,Forest07Left,"(Forest06Left + (Forest11Right + dash_charge) + (double_jump + (dodge | WALL_DASH)) | high_jump) 
| (Forest06LowerLeftDoor + ((double_jump + dodge) | high_jump | WALL_DASH) 
| (Forest06CenterDoor  + (double_jump + (dodge | WALL_DASH) | high-jump) 
| (Forest06LowerRight + high_jump)",Done,not entirely sure
Forest 6,Forest06Left,Forest11Right,(Forest06LowerLeftDoor | Forest06CenterDoor) + (double_jump + dash_charge),Done,
Forest 6,Forest06LowerLeftDoor,Forest12UpperDoor,"(Forest06Left + (Forest11Right + dash_charge) 
| (Forest06CenterDoor + (double_jump | high_jump))",Done,
Forest 6,Forest06LowerRightDoor,Forest05CenterUpperDoor,"Forest06HiddenRight 
| (Forest06LowerLeftDoor + ((double_jump + dodge) | high_jump | WALL_DASH) 
| (Forest06Left + (Forest11Right + dash_charge) + (double_jump + dodge) | high_jump | WALL_DASH) 
| (Forest06CenterDoor  + (double_jump + (dodge | WALL_DASH) | high-jump)",Done,
Forest 7,Forest07CenterDoor,Forest10UpperLeftDoor,"(Forest07LeftDoor + (wall_grab | high_jump)) 
| Forest07Right + (wall_grab + (double_jump | dodge | wall_charge) | high_jump)",Done,
Forest 7,Forest07Left,Forest06HiddenRight,None,Done,
Forest 7,Forest07Right,Forest08Left,"(Forest07CenterDoor + (double_jump | high_jump | WALL_DASH)) 
| (Forest07LeftDoor + (wall_grab + (double_jump | wall_charge) | high_jump)",Done,
Forest 7,Forest07LeftDoor,Forest04UpperCenterDoor,"Forest07CenterDoor 
| (Forest07Right + (wall_grab + (double_jump | dodge | wall_charge) | high_jump))",Done,
Forest 8,Forest08Left,Forest07Right,Forest08LowerDoor + (high_jump | WALL_DASH + double_jump),Done,
Forest 8,Forest08LowerDoor,Forest10RightDoor,Forest08Left,Done,
Forest 9,Forest09CenterDoor,Forest04LowerCenterRightDoor,"(Forest09LeftDoor | Forest09CenterLeftDoor) 
| (Forest09CenterRightDoor + (wall_grab | high_jump)) 
| (Forest09UpperRightDoor + (WALL_DASH | dodge | double_jump)) 
| (Forest09LowerRightDoor + TORRENT + (high_jump | wall_grab))",Done,
Forest 9,Forest09CenterLeftDoor,Forest04LowerCenterLeftDoor,"(Forest09UpperRightDoor + (double_jump | dodge)) 
| (Forest09LowerRight + TORRENT + (high_jump |  (wall_grab + (dodge | double_jump)))) 
| (Forest09LeftDoor + (high_jump | WALL_DASH)) 
| (Forest09CenterDoor + (high_jump | (WALL_DASH + (double_jump | dodge)))) 
| (Forest09CenterRightDoor + (high_jump | (wall_grab + (dodge | double_jump))))",Done,
Forest 9,Forest09CenterRightDoor,Forest03LowerRightDoor,"(Forest09UpperRightDoor + (WALL_DASH | dodge | double_jump)) 
| (Forest09LowerRight + TORRENT) 
| ((Forest09LeftDoor | Forest09CenterDoor) + (WALL_DASH | high_jump)) 
| (Forest09CenterLeftDoor + (dodge | double_jump | high_jump))",Done,
Forest 9,Forest09LeftDoor,Forest04LowerLeftDoor,"(Forest09LowerRight + TORRENT + wall_grab + (dodge | double_jump)) 
| (Forest09UpperRightDoor + (dodge | double_jump) | WALL_DASH) 
| (Forest09CenterRightDoor + (wall_grab | (high_jump + (dodge | double_jump))) 
| (Forest09CenterDoor | Forest09CenterLeftDoor) + (double_jump | dodge | wall_grab)",Done,
Forest 9,Forest09LowerRight,Estate12Left,"((Forest09UpperRightDoor + (double_jump | dodge | WALL_DASH)) 
| ((Forest09LeftDoor | Forest09CenterDoor) + (WALL_DASH | high_jump)) 
| (Forest09CenterLeftDoor + (dodge | double_jump | high_jump)) 
| Forest09CenterRightDoor) 
+ TORRENT",Done,
Forest 9,Forest09UpperRightDoor,Forest18LowerCenterDoor,"((Forest09LeftDoor | Forest09CenterDoor) + (WALL_DASH | high_jump)) 
| (Forest09CenterLeftDoor + (dodge | double_jump | high_jump)) 
| (Forest09CenterRightDoor + ((wall_grab | high_jump) + (dodge | double_jump)))",Done,
Forest 10,Forest10CenterDoor,Forest18UpperLeftDoor,"((Forest10RightDoor | Forest10LowerLeftDoor) + (high_jump | double_jump) 
| (Forest10UpperLeftDoor + (dodge + (double_jump | wall_grab)) | high_jump | WALL_DASH)",Done,
Forest 10,Forest10LowerLeftDoor,Forest05RightDoor,Forest10UpperLeftDoor | (Forest10CenterDoor | Forest10RightDoor) + (high_jump | double_jump),Done,
Forest 10,Forest10RightDoor,Forest08LowerDoor,None,Done,
Forest 10,Forest10UpperLeftDoor,Forest07CenterDoor,(Forest10LowerLeftDoor | Forest10CenterDoor | Forest10RightDoor) + (double_jump | high_jump),Done,
Forest 11,Forest11Right,Forest06Left,None,Done,
Forest 12,Forest12LeftDoor,Forest01UpperDoor,Forest12UpperDoor | Forest12LowerRightDoor | Forest12UpperRightDoor,Done,
Forest 12,Forest12LowerRightDoor,Forest04UpperLeftDoor,Forest12LeftDoor | Forest12UpperRightDoor | Forest12UpperDoor,Done,
Forest 12,Forest12UpperDoor,Forest06LowerLeftDoor,(Forest12UpperRightDoor | Forest12LeftDoor | Forest12LowerRightDoor) + (double_jump | high_jump),Done,
Forest 12,Forest12UpperRightDoor,Forest05LeftDoor,(Forest12UpperDoor | Forest12LeftDoor | Forest12LowerRightDoor) + (double_jump | high_jump),Done,
Forest 18,Forest18CenterLeftDoor,Forest04UpperRightDoor,"(Forest18UpperLeftDoor | Forest18UpperRightDoor) 
| (Forest18CenterDoor + (double_jump | high_jump | wall_grab)) 
| (Forest18LowerLeftDoor + (double_jump | wall_grab))",Done,
Forest 18,Forest18LowerCenterDoor,Forest09UpperRightDoor,"(Forest18CenterLeftDoor | Forest18UpperLeftDoor | Forest18UpperRightDoor) 
| (Forest18LowerLeftDoor + (double_jump | high_jump))",Done,
Forest 18,Forest18LowerLeftDoor,Forest04LowerRightDoor,None,Done,
Forest 18,Forest18UpperLeftDoor,Forest10CenterDoor,"(Forest18LowerLeftDoor + (double_jump | high_jump)) 
| ((Forest18CenterLeft | Forest18UpperRightDoor) + (dodge | double_jump | high_jump)) 
| (Forest18CenterDoor + (double_jump | high_jump) | (wall_grab + dodge))",Done,
Forest 18,Forest18UpperRightDoor,Forest19LowerDoor,Forest18LowerLeft + (double_jump | high_jump),Done,
Forest 19,Forest19LeftDoor,Forest18UpperRightDoor,Forest19Right + Forest19Right_Lever,Done,
Forest 19,Forest19LowerDoor,Forest03UpperRightDoor,None,Done,
Forest 19,Forest19Right,Forest20Left,Forest19Left + Forest19Right_Lever,Done,
Forest 19,Forest19Right_Lever,,Forest19LowerLeft,Done,
Forest 20,Forest20Left,Forest19Right,Forest20Right + (double_jump | high_jump | dash_charge),Done,
Forest 20,Forest20Right,Forest21Left,Forest20Left + ((double_jump + dodge) | high_jump),Done,
Forest 21,Forest21Left,Forest20Right,Forest21Right,Done,
Forest 21,Forest21Right,Forest22Left,Forest21Left,Done,
Forest 22,Forest22Left,Forest21Right,Forest22Right,Done,
Forest 22,Forest22Right,Forest23Left,Forest22Left,Done,
Forest 23,Forest23Left,Forest22Right,None,Done,
Garden 1,Garden01Left,Garden09Right,Garden01Right + (high_jump | double_jump + wall_grab),Done,
Garden 1,Garden01Right,Garden12Left,Garden01Left,Done,
Garden 2,Garden02Left,Garden04Right,"Garden02Right + (high_jump | double_jump + wall_grab)
| (Garden02LowerRight + (Garden02LowerRight_LeftLever | Garden02LowerRight_RightLever)) + (high_jump | double_jump + wall_grab)
| Garden02LowerLeft",Done,Can wall dash with double_jump + dodge
Garden 2,Garden02Left_Lever,Garden04Right,"Garden02Right + (high_jump | double_jump + wall_grab)
| (Garden02LowerRight + (Garden02LowerRight_LeftLever | Garden02LowerRight_RightLever)) + (high_jump | double_jump + wall_grab)
| Garden02LowerLeft",Done,
Garden 2,Garden02LowerLeft,Garden03UpperLeft,"((Garden02Right + (high_jump | double_jump + wall_grab)
| (Garden02LowerRight + (Garden02LowerRight_LeftLever | Garden02LowerRight_RightLever)) + (high_jump | double_jump + wall_grab)
| Garden02Left))
+ Garden02LowerLeft_Lever",Done,
Garden 2,Garden02LowerLeft_Lever,Garden03UpperLeft,Garden02LowerLeft,Done,
Garden 2,Garden02LowerRight,Garden03UpperRight,"((Garden02Left | Garden02LowerLeft) + Garden02Left_Lever) + (hook + (double_jump | wall_grab + dodge) | high_jump)
| Garden02Right",Done,implied logic to get to both left and right lever
Garden 2,Garden02LowerRight_LeftLever,Garden03UpperRight,Garden02LowerRight,Done,
Garden 2,Garden02LowerRight_RightLever,Garden03UpperRight,Garden02LowerRight,Done,
Garden 2,Garden02Right,Garden09Left,"((Garden02Left | Garden02LowerLeft) + Garden02Left_Lever) + (hook + (double_jump | wall_grab + dodge) | high_jump)
| (Garden02LowerRight + ((Garden02LowerRight_RightLever + (double_jump + wall_grab | high_jump)) | (Garden02LowerRight_LeftLever + (hook + (double_jump | wall_grab + dodge) | high_jump))))",Done,lowerleft has lever on entrance so implied lever logic
Garden 3,Garden03LeftLower,Garden14Right,"Garden03UpperRight + (high_jump | dodge + double_jump)
| Garden03UpperLeft | Garden03LeftUpper",Done,
Garden 3,Garden03LeftUpper,Garden13Right,"(Garden03UpperRight | Garden03LeftLower) + (high_jump | dodge + double_jump)
| Garden03UpperLeft",Done,
Garden 3,Garden03UpperLeft,Garden02LowerLeft,(Garden03UpperRight | Garden03LeftLower | Garden03LeftUpper) + (high_jump | dodge + double_jump),Done,
Garden 3,Garden03UpperRight,Garden02LowerRight,Garden03LeftLower | Garden03UpperLeft | Garden03LeftUpper,Done,
Garden 4,Garden04Left,Garden05Right,Garden04Right,Done,
Garden 4,Garden04Right,Garden02Left,Garden04Left,Done,
Garden 5,Garden05Left,Garden06Right,Garden05Right,Done,
Garden 5,Garden05Right,Garden04Left,Garden05Left,Done,
Garden 6,Garden06Left,Garden08Right,"Garden06Right + ((double_jump + wall_grab) + (wall_charge | hook | dodge) | high_jump) + pile_attack
| Garden06UpperDoor + (hook + (double_jump | dodge)) |  double_jump + WALL_DASH | high_jump",Done,
Garden 6,Garden06Right,Garden05Left,"Garden06Left + (((double_jump + wall_grab) + (WALL_DASH | dodge)) + hook) | high_jump
| Garden06UpperDoor",Done,
Garden 6,Garden06UpperDoor,Garden07LowerDoor,"Garden06Right + (((double_jump + wall_grab) + (WALL_DASH | dodge)) + hook) | high_jump
| Garden06Left + ((hook + wall_grab) + (double_jump | wall_charge + dodge) | high_jump)",Done,
Garden 7,Garden07LowerDoor,Garden06UpperDoor,Garden07Upper,Done,
Garden 7,Garden07Upper,Garden10Lower,Garden07LowerDoor + (high_jump + (dodge | double_jump)) | (double_jump + dodge + wall_grab),Done,
Garden 8,Garden08Right,Garden06Left,Garden08Upper,Done,
Garden 8,Garden08Upper,Labo06Lower,Garden08Right + high_jump,Done,
Garden 9,Garden09Left,Garden02Right,Garden09Right,Done,
Garden 9,Garden09Right,Garden01Left,Garden09Left,Done,
Garden 10,Garden10Left,Garden11Right,Garden10Lower,Done,
Garden 10,Garden10Lower,Garden07Upper,Garden10Left,Done,
Garden 11,Garden11Right,Garden10Left,None,Done,
Garden 12,Garden12Left,Garden01Right,Garden12RightDoor,Done,
