Room,Name,Item,Logic,Status,Comment,Aloha Comment,Original (before Aloha edits),Final Logic?,,,,,,,,,,,
Forest 19,Forest 19 - Lever,forest19right_lever,Forest19LowerDoor,Done,,,,Forest19LowerDoor,,,,,,,,,,,Forest 19 - Right Lever
Center 5,Center 5 - Lever,center05right_lever,Center05CenterDoor | Center05LeftDoor | Center05RightDoor,Done,,,,Center05CenterDoor | Center05LeftDoor | Center05RightDoor,,,,,,,,,,,Center 5 - Right Lever
Estate 6,Estate 6 - Lever,estate06right_lever,Estate06Right,Done,,,,Estate06Right,,,,,,,,,,,Estate 6 - Right Lever
Forest 2,Forest 2 - Lever,forest02right_lever,Forest02Right,Done,,,,Forest02Right,,,,,,,,,,,Forest 2 - Right Lever
Forest 3,Forest 3 - Lever,forest03right_lever,Forest03LowerRightDoor,Done,,,,Forest03LowerRightDoor,,,,,,,,,,,Forest 3 - Right Lever
Kowloon 6,Kowloon 6 - Lever,kowloon06right_lever,Kowloon06CenterRight,Done,,,,Kowloon06CenterRight,,,,,,,,,,,Kowloon 6 - Right Lever
Kowloon 9,Kowloon 9 - Lever,kowloon09upper_lever,Kowloon09HiddenRight + wall_grab + (dodge | double_jump | high_jump | wall_charge),Done,,,Kowloon09HiddenRight + wall_grab + (double_jump | high_jump),Kowloon09HiddenRight + wall_grab + (dodge | double_jump | high_jump | wall_charge),,,,,,,,,,,Kowloon 9 - Upper Lever
Kowloon 15,Kowloon 15 - Lever,kowloon15lower_lever,Kowloon15Lower + (wall_grab | high_jump),Done,,,,Kowloon15Lower + (wall_grab | high_jump),,,,,,,,,,,Kowloon 15 - Lower Lever
Kowloon 34,Kowloon 34 - Lever,kowloon34lower_lever,Kowloon34CenterLeft | Kowloon34UpperLeft | Kowloon34Right,Done,,,,Kowloon34CenterLeft | Kowloon34UpperLeft | Kowloon34Right,,,,,,,,,,,Kowloon 34 - Lower Lever
Kowloon 36,Kowloon 36 - Lever,kowloon36left_lever,Kowloon36UpperLeft | Kowloon36Right + (double_jump | high_jump),Done,UpperLeft does not require double_jump or high_jump,,(Kowloon36UpperLeft | Kowloon36Right) + (double_jump | high_jump),Kowloon36UpperLeft | Kowloon36Right + (double_jump | high_jump),,,,,,,,,,,Kowloon 36 - Left Lever
Kowloon 40,Kowloon 40 - Lever,kowloon40right_lever,Kowloon40Left + (wall_grab | high_jump),Done,,,,Kowloon40Left + (wall_grab | high_jump),,,,,,,,,,,Kowloon 40 - Right Lever
Kowloon 42,Kowloon 42 - Lever,kowloon42upper_lever,Kowloon42Left + high_jump,Done,,,,Kowloon42Left + high_jump,,,,,,,,,,,Kowloon 42 - Upper Lever
Labo 3,Labo 3 - Left Lever,labo03left_lever,Labo03Left,Done,,,,Labo03Left,,,,,,,,,,,Labo 3 - Left Lever
Labo 3,Labo 3 - Right Lever,labo03right_lever,Labo03Right,Done,,,,Labo03Right,,,,,,,,,,,Labo 3 - Right Lever
Labo 5,Labo 5 - Lower Lever,labo05lower_lever,Labo05Lower,Done,,,,Labo05Lower,,,,,,,,,,,Labo 5 - Lower Lever
Labo 5,Labo 5 - Upper Lever,labo05upper_lever,Labo05Lower + high_jump,Done,,,,Labo05Lower + high_jump,,,,,,,,,,,Labo 5 - Upper Lever
Labo 18,Labo 18 - Lever,labo18right_lever,Labo18RightDoor,Done,,,,Labo18RightDoor,,,,,,,,,,,Labo 18 - Right Lever
Labo 19,Labo 19 - Lever,labo19left_lever,Labo19Left,Done,,,,Labo19Left,,,,,,,,,,,Labo 19 - Left Lever
Mine 4,Mine 4 - Lever,mine04_right_lever,Mine04Left,Done,,,,Mine04Left,,,,,,,,,,,Mine 4 - Right Lever
Mine 8,Mine 8 - Lever,mine08right_lever,Mine08Upper + pile_attack + (double_jump | high_jump | wall_grab),Done,,,,Mine08Upper + pile_attack + (double_jump | high_jump | wall_grab),,,,,,,,,,,Mine 8 - Right Lever
Mine 13,Mine 13 - Lever,mine13right_lever,Mine13Left,Done,,,,Mine13Left,,,,,,,,,,,Mine 13 - Right Lever
Paradise 4,Paradise 4 - Lever,paradise04left_lever,Paradise04Lower | Paradise04LowerRight | Paradise04CenterRight,Done,,,,Paradise04Lower | Paradise04LowerRight | Paradise04CenterRight,,,,,,,,,,,Paradise 4 - Left Lever
Paradise 19,Paradise 19 - Lever,paradise19center_lever,Paradise19Upper,Done,,,,Paradise19Upper,,,,,,,,,,,Paradise 19 - Center Lever
Quarry 15,Quarry 15 - Lever,quarry15upper_lever,(Quarry15Left | Quarry15LowerLeft | Quarry15LowerRight) + ((double_jump | high_jump) + ((dodge + wall_grab) | WALL_DASH)),Done,"high_jump can swap with double_jump
WALL_DASH also requires double or high I think? not sure if this is right",,(Quarry15Left | Quarry15LowerLeft | Quarry15LowerRight) + (double_jump + (dodge + wall_grab) | WALL_DASH),(Quarry15Left | Quarry15LowerLeft | Quarry15LowerRight) + ((double_jump | high_jump) + ((dodge + wall_grab) | WALL_DASH)),,,,,,,,,,,Quarry 15 - Upper Lever
Roots 11,Roots 11 - Lever,roots11lower_lever,,Done,,,Roots11Right | Roots11HiddenUpper,Roots11Lower,,,,,,,,,,,
Roots 20,Roots 20 - Lever,roots20upper_lever,Roots20Lower + wall_grab + (dodge | double_jump),Done,,,,Roots20Lower + wall_grab + (dodge | double_jump),,,,,,,,,,,Roots 20 - Upper Lever
Ruins 7,Ruins 7 - Lever,ruins07upperright_lever,Ruins07LowerRight | Ruins07LowerLeft,Done,,,,Ruins07LowerRight | Ruins07LowerLeft,,,,,,,,,,,Ruins 7 - Upper Right Lever
Sewer 15,Sewer 15 - Lever,sewer15lower_lever,Sewer15Lower + (high_jump + (dodge | (double_jump + wall_grab)) | hook),Done,,,,Sewer15Lower + (high_jump + (dodge | (double_jump + wall_grab)) | hook),,,,,,,,,,,Sewer 15 - Lower Lever
Street 2,Street 2 - Lever,street02left_lever,Street02Right,Done,,,,Street02Right,,,,,,,,,,,Street 2 - Left Lever
Street 5,Street 5 - Lever,street05lowerright_lever,Street05Left | Street05UpperRight,Done,,,,Street05Left | Street05UpperRight,,,,,,,,,,,Street 5 - Lower Right Lever
Summit 8,Summit 8 - Lever,summit08lowerright_lever,(Summit08Left | Summit08LeftDoor | Summit08UpperRight | Summit08RightDoor) + dash_charge + double_jump + wall_grab,Done,"NOTE this might be possible without double_jump, but it is.. annoying",Added wall_grab as it is required to hit the lever,(Summit08Left | Summit08LeftDoor | Summit08UpperRight | Summit08RightDoor) + dash_charge + double_jump,(Summit08Left | Summit08LeftDoor | Summit08UpperRight | Summit08RightDoor) + dash_charge + double_jump + wall_grab,,,,,,,,,,,Summit 8 - Lower Right Lever
Summit 16,Summit 16 - Lever,summit16right_lever,Summit16CenterDoor | Summit16Left,Done,,,,Summit16CenterDoor | Summit16Left,,,,,,,,,,,Summit 16 - Right Lever
Summit 20,Summit 20 - Lever,summit20upper_lever,Summit20Upper,Done,,,,Summit20Upper,,,,,,,,,,,Summit 20 - Upper Lever
Summit 23,Summit 23 - Upper Lever,summit23upper_lever,Summit23LowerRight + Summit23Left_Lever + wall_grab + (high_jump | double_jump + (dodge | wall_charge)),Done,,"Added wall_grab mandatory, cannot hit Lever without wall_grab",(Summit23LowerRight + Summit23Left_Lever) + (high_jump | (wall_grab + double_jump + (dodge | wall_charge))),Summit23LowerRight + Summit23Left_Lever + wall_grab + (high_jump | double_jump + (dodge | wall_charge)),,,,,,,,,,,Summit 23 - Upper Lever
Summit 23,Summit 23 - Left Lever,summit23left_lever,(Summit21Left | Summit21Lower | Summit21Right) + WALL_DASH,Unsure,Dash from summit21,"should this just be 'none'? or just simply tie to Summit22LowerRight or Summit23LowerLeft?
The requirements to enter Summit22LowerRight should cover it?",Thinking none,(Summit21Left | Summit21Lower | Summit21Right) + WALL_DASH,,,,,,,,,,,Summit 23 - Left Lever
Summit 25,Summit 25 - Upper Lever,summit25upper_lever,Summit25LowerRight + (high_jump | double_jump + dodge | wall_charge) + wall_grab,Done,,,,Summit25LowerRight + (high_jump | double_jump + dodge | wall_charge) + wall_grab,,,,,,,,,,,Summit 25 - Upper Lever
Summit 25,Summit 25 - Right Lever,summit25right_lever,Summit25LowerRight + (high_jump | double_jump + wall_grab),Done,,,,Summit25LowerRight + (high_jump | double_jump + wall_grab),,,,,,,,,,,Summit 25 - Right Lever
Summit 27,Summit 27 - Lever,summit27upper_lever,Summit27LowerRight + (dive + dodge | wall_grab + double_jump + dodge | high_jump + double_jump | WALL_DASH + (double_jump | high_jump)),Done,,,Summit27LowerRight + (dive + (dodge | dash_underwater_charge)) | (double_jump + WALL_DASH),Summit27LowerRight + (dive + dodge | wall_grab + double_jump + dodge | high_jump + double_jump | WALL_DASH + (double_jump | high_jump)),,,,,,,,,,,Summit 27 - Upper Lever
Swamp 10,Swamp 10 - Lever,swamp10upper_lever,"(Swamp10Left + TORRENT) 
| ((Swamp10UpperLeft | Swamp10Right) + dive)",Done,,,,"(Swamp10Left + TORRENT) 
| ((Swamp10UpperLeft | Swamp10Right) + dive)",,,,,,,,,,,Swamp 10 - Upper Lever
Swamp 11,Swamp 11 - Left Lever,swamp11left_lever,"Swamp11LowerLeft 
+ (double_jump | wall_grab)",Done,,,,"Swamp11LowerLeft 
+ (double_jump | wall_grab)",,,,,,,,,,,Swamp 11 - Left Lever
Swamp 11,Swamp 11 - Right Lever,swamp11right_lever,Swamp11LowerRight,Done,,,,Swamp11LowerRight,,,,,,,,,,,Swamp 11 - Right Lever
Swamp12,Swamp 12 - Lever,swamp12left_lever,(Swamp12UpperLeft | Swamp12Upper) + pile_attack,Done,,"Updated to UpperLeft
Does this require Swamp12LowerLeft?",(Swamp12Left | Swamp12Upper) + pile_attack,(Swamp12UpperLeft | Swamp12Upper) + pile_attack,,,,,,,,,,,Swamp 12 - Left Lever
Tower 1,Tower 1 - Lever,tower01centerright_lever,Tower01CenterRight,Done,,,,Tower01CenterRight,,,,,,,,,,,Tower 1 - Center Right Lever
Garden 5,Garden 5 - Students Saved,EVT_ev_s_n0233_RescueSuccess_001,,,,,,(Garden05Left | Garden05Right) + EVT_ev_s_e0233_Researcher_Defeat + EVT_ev_n_Student_a_001+ EVT_ev_n_Student_b_001 + EVT_ev_n_Student_c_001+ EVT_ev_n_Student_d_001+ EVT_ev_n_Student_e_001,,,,,,,,,,,
Garden 5,Garden 5 - Defeat Eliza,EVT_ev_s_e0233_Researcher_Defeat,,,,,,Garden05Left | Garden05Right,,,,,,,,,,,
Forest 23,Forest 23 - Lily in Crimson Forest,EVT_ev_n_LilyEvent_Forest_001,,,,,,Forest23Left + EVT_ev_n_LilyEvent_Garden_001,,,,,,,,,,,
Garden 13,Garden 13 - Lily in Sorcerer Academy,EVT_ev_n_LilyEvent_Garden_001,,,,,,Garden13Right,,,,,,,,,,,
Roots 2,Roots 2 - Lily in Land of Origin,EVT_ev_s_LilyEvent_Roots_002,,,,,,Roots02Right + EVT_ev_n_LilyEvent_Forest_001,,,,,,,,,,,
Street 11,Street 11 - Street Elevator Fixed,EVT_ev_s_0180_StreetElevatorFix,,,,,,(Street11Right | Street11Left) + EVT_ev_s_n7043_Quarry_Tuner + EVT_ev_s_n7042_Swamp_Tuner + EVT_ev_s_e6010_Cluster_Defeat + EVT_ev_s_0080_FrostAndOwl,,,,,,,,,,,
Swamp 17,Swamp 17 - Unlock Relic Refinery,EVT_ev_s_n7042_Swamp_Tuner,,,,,,Swamp17Left + EVT_ev_s_e6010_Cluster_Defeat,,,,,,,,,,,
Forest 22,Forest 22 - Defeat Veol,EVT_ev_s_e6000_Rider_Defeat ,,,,,,Forest22Left + EVT_ev_s_e6000_Rider_Defeat,,,,,,,,,,,
