Room,Name,Actor,Item,Logic,Status,Comment,Aloha Suggested (Enhanced version),notes,TODO comments (delete when DONE)
Estate 7,Estate 7 - Materials,Estate_001_Zone_007.BP_Interactable_AddItem_C_1,"currencies[""Default""]","(Estate07Lower | Estate07LowerRight) + 
(high_jump + (double_jump | dive | snow | moon | wall_grab + (FLOWER2 | STALL) | STALL + grav + (flower | dodge)) | hook + (dodge + (axe | scythe) + grav | double_jump + (moon | snow | STALL + grav) | STALL + grav + (moon | snow) | wall_grab + (FLOWER2 | STALL | double_jump | snow | moon)) | dive + (WALL_DASH | (axe | scythe | sword + (grav | RONIN | lazer)) + double_jump + dodge | hook + (dodge | double_jump | RONIN | STALL | lazer + grav)) | (axe | scythe) + grav + double_jump + dodge + RONIN)",Done,,Finished,"For review, might be easiest to group logic like below

high_jump options - use row 20 + high_jump

dive-less hook options
hook + (dodge + (axe | scythe) + grav | double_jump + (moon | snow | STALL + grav) | STALL + grav + (moon | snow) | wall_grab + (FLOWER2 | STALL | double_jump | snow | moon)))

dive hook options
hook + dive + (RONIN | STALL | ReiBlast + grav)

dive hook-less options (doubtful of any combo not requiring both double_jump + dodge)
dive + (WALL_DASH | (axe | scythe | sword + (grav | RONIN | ReiBlast)) + double_jump + dodge)

dive-less hook-less options (sword not enough height?)
(axe | scythe) + grav + double_jump + dodge + RONIN ",double check lazer / REIBOLG
Estate 7,Estate 7 - Levy,Estate_001_Zone_007.BP_Trigger_Event_LevyTreasure_C_1,"quests[""quest_artifact""]",(Estate07Lower | Estate07LowerRight) + (double_jump | dive | snow | moon | wall_grab + (FLOWER2 | STALL) | STALL + grav + (flower | dodge)),Done,,Finished,,
Estate 8,Estate 8 - Scrap,Estate_001_Zone_008.BP_Interactable_AddItem_C_1,"currencies[""rare""]",(Estate08Upper | Estate08Left | Estate08Right) + dive,Done,,N/A,,
Estate 10,Estate 10 - Grimoire,Estate_001_Zone_010.BP_Interactable_TreasureBox_C_1,"stats[""shop_line_up""]",Estate10Left + TORRENT,Done,,N/A,,
Estate 11,Estate 11 - Special Alloy Core,Estate_001_Zone_011.BP_Interactable_AddItem_C_0,"materials[""parts_lv5_a""]",(Estate11Left | Estate11Right) + TORRENT,Done,,N/A,,
Estate 12,Estate 12 - Frost Confidential Records 1,Estate_001_Zone_012.BP_Interactable_AddItem_C_0,"tips[""tip_frostsrecord_01""]",(Estate12Left | Estate12Upper | Estate12Right) + dive,Done,,N/A,,
Factory 1,Factory 1 - Special Alloy Core,Factory_001_Zone_001.BP_Interactable_AddItem_C_0,"materials[""parts_lv5_a""]","(Factory02LowerLeft | Factory02HiddenCenterRight | Factory02UpperRight | Factory02UpperLeft | Factory02LowerRight | Factory02UpperCenterRight) 
+ (high_jump + WALL_DASH)",In Progress,"Dash Wall needs access from Factory02

WALL_DASH from Factory09Right + dodge + STALL + grav
","(Factory02LowerLeft | Factory02HiddenCenterRight | Factory02UpperRight | Factory02UpperLeft | Factory02LowerRight | Factory02UpperCenterRight) 
+ (high_jump | double_jump + (STALL + (grav | dodge) | snow | moon)) + WALL_DASH","unsure if any flower tech; prob some double_jump + dodge + FLOWER2, but I cant get it","this one is painful because if you ""really"" want it, there are SO many ways to get it"
Factory 1,Factory 1 - Mysterious Glowing Can,Factory_001_Zone_001.BP_Interactable_AddItem_C_1,"passives[""stamina_damage_up_b_1""]",Factory01Left + (high_jump | (wall_grab + double_jump)),In Progress,WALL_DASH from Factory09Right lul,Factory01Left + (high_jump | dodge + double_jump + (WALL_GRAB | snow | flower + STALL | STALL + grav | moon) | STALL + grav + (double_jump | dodge | RONIN) | WALL_DASH + (moon | snow | double_jump + flower)),"this needs to be edited since dodge may or may not be required whatsoever
wall_grab + double_jump is sufficient, so WALL_DASH + double_jump is overkill",Factory01Right + WALL_DASH + (axe | (scythe | sword) + grav | scythe + dodge | snow | moon | FLOWER2 | double_jump)) (pending testing)
Factory 2,Factory 2 - Worker's Surveillance Records,Factory_001_Zone_002.BP_Interactable_AddItem_C_0,"tips[""tip_surveillancerecord_01""]","Factory02UpperLeft + (WALL_DASH | high_jump | wall_grab + double_jump + dodge | wall_grab + hook + (dodge | double_jump)) 
| (Factory02UpperRight | Factory02UpperCenterRight | Factory02LowerLeft | Factory02LowerRight | Factory02HiddenCenterRight) 
+ (high_jump | hook + wall_grab + (dodge | double_jump | wall_charge)) ",In Progress,this could be gotten from Factory01Right + WALL_DASH + (axe | (scythe | sword) + grav | scythe + dodge | snow | moon | FLOWER2 | double_jump)) (pending testing),"Factory02UpperLeft + (WALL_DASH | high_jump | wall_grab + double_jump + dodge | wall_grab + hook + (dodge | double_jump)) 
| (Factory02UpperRight | Factory02UpperCenterRight | Factory02LowerLeft | Factory02LowerRight | Factory02HiddenCenterRight) 
+ (high_jump | hook + wall_grab + (dodge | double_jump | wall_charge) | WALL_DASH + double_jump + dodge)","Probably going to need to split UpperRight from others now

from ALL (yes even lowers): (axe | scythe) + grav + double_jump + dodge
Sword might require RONIN from Lowers, but fine from Right
sword + grav + double_jump + dodge + (moon | snow)

UpperLeft : STALL + double_jump + dodge 
wall_grab + (STALL + (double_jump | hook | dodge | moon) | snow | flower | grav)
wall_grab + moon + (ReiBlast | grav)

Hook + double_jump + dodge + (ReiBlast + grav | sword)

Hook + STALL + (double_jump | dodge) + (grav | RONIN)","Base wall_grab reqs from Lowers (can be used for some transitions logic as well):
NOTE - for sword , need to navigate from the LowerRight wall above the transition

wall_grab + (STALL + grav + (snow | double_jump | moon + dodge) | snow + double_jump | STALL + double_jump + (dodge | moon) | dodge + snow + (scythe | axe) | double_jump + dodge + moon) 

need to add non-grav STALL options"
Factory 5,Factory 5 - Scrap,Factory_001_Zone_005.BP_Interactable_AddItem_C_0,"currencies[""rare""]","Factory05Left | Factory05Upper 
| Factory05Right + (wall_grab | high_jump | double_jump + dodge | STALL + (double_jump | dodge | grav | moon | REIBOLG) | flower | snow | moon + (double_jump | dodge | grav | REIBOLG) | REIBOLG + grav + (double_jump | dodge))",Done,,Finished,,double check REIBOLG
Factory 6,Factory 6 - Labourer's Tag,Factory_001_Zone_006.BP_Interactable_TreasureBox_C_0,"passives[""damage_cut_debuff_down_1""]","(Factory06Right | Factory06LowerLeft) + (double_jump + dodge + wall_grab | high_jump + (wall_grab + (double_jump | dodge)) | WALL_DASH) 
| Factory06UpperLeft + (double_jump + dodge + wall_grab | WALL_DASH + (dodge | double_jump) | high_jump + wall_grab + (dodge | double_jump))
| Factory06Upper + (double_jump + dodge + wall_grab | WALL_DASH | high_jump + wall_grab + (dodge | double_jump))",In Progress,NOTE there is something wrong with base logic - WALL_DASH from Factory06Right,"(Factory06Right | Factory06LowerLeft) + (double_jump + dodge + wall_grab | high_jump + wall_grab + (double_jump | dodge | wall_charge)) 
| Factory06UpperLeft + (double_jump + dodge + wall_grab | WALL_DASH + (dodge | double_jump) | high_jump + wall_grab + (dodge | double_jump))
| Factory06Upper + (double_jump + dodge + wall_grab | WALL_DASH | high_jump + wall_grab + (dodge | double_jump))","wall_grab + snow for all
wall_grab + flower for UpperLeft/Upper
wall_grab + FLOWER2 + ReiBlast from Lower/Right
wall_grab + (double_jump | moon) + STALL
wall_grab + (moon | STALL + grav) + dodge
wall_grab + moon + double_jump
double_jump + dodge + STALL + (grav | RONIN)
high_jump + wall_grab + (STALL | moon | flower | wall_charge)
More WALL_DASH options from Right/LowerLeft and UpperLeft

Might be hook options from Upper? They dont seem relevant however

Just need to merge and refine",double check REIBOLG
Factory 7,Factory 7 - Factory Management Records,Factory_001_Zone_007.BP_Interactable_AddItem_C_0,"tips[""tip_administrationrecord_01""]",Factory07Left | Factory07Right,Done,,N/A,,
Factory 8,Factory 8 - Scrap,Factory_001_Zone_008.BP_Interactable_AddItem_C_1,"currencies[""rare""]","Factory08UpperRight + ((hook | WALL_DASH) + (double_jump | dodge) | double_jump + dodge | STALL + (dodge | double_jump | RONIN | hook | grav | WALL_DASH) | RONIN + (double_jump | dodge | hook | WALL_DASH) | (snow | flower) + grav | REIBOLG)
| Factory08LowerRight + (hook + (double_jump | dodge) | double_jump + dodge | STALL + (dodge | double_jump | RONIN | hook | grav | WALL_DASH) | RONIN + (double_jump | dodge | hook | WALL_DASH) | (snow | flower) + grav | REIBOLG)",Done,,Finished,,double check REIBOLG
Factory 9,Factory 9 - Charmed Fragment,Factory_001_Zone_009.BP_Interactable_AddItem_C_0,"stats[""hp_up_s""]","Factory09Upper 
| (Factory09Lower | Factory09Right) + (high_jump | double_jump + wall_grab)",In Progress,"the WALL_DASH option involves dashing from 09 all the way to 01, climbing to right below the WALL_DASH item, then wall dashing to the other 01 item. from there can WALL_DASH back to 09.
WALL_DASH only includes things that do NOT give enough height to normally wall_grab in 09","Factory09Upper 
| (Factory09Lower | Factory09Right) + (high_jump | double_jump + wall_grab)","double_jump + (wall_grab | snow | STALL + grav)
wall_grab + (axe | moon | snow | FLOWER2 | (sword | scythe) + grav)
WALL_DASH + (sword | scythe | flower) -- check dodge? or ReiBlast
check STALL + grav + dodge + RONIN?",
Factory 10,Factory 10 - Velnest,Factory_001_Zone_010.EVT_ev_s_e2030_Sector_Defeat,"materials[""parts_lv5_b""]",Factory10Left | Factory10Right,Done,,N/A,,
Factory 12,Factory 12 - Scrap,Factory_001_Zone_012.BP_Interactable_AddItem_C_1,"currencies[""rare""]","Factory12Left + (high_jump | wall_grab + double_jump + (wall_charge | dodge)) 
| Factory12Right + (high_jump | WALL_DASH | wall_grab + (dodge + double_jump) | hook + (dodge | double_jump))
| Factory15Lower",In Progress,Can be gotten from falling from Factory15 (factory 15 access can also be granted here with high_jump),"Factory12Left + (high_jump | wall_grab + double_jump + (wall_charge | dodge)) 
| Factory12Right + (high_jump | WALL_DASH | wall_grab + (dodge + double_jump) | hook + (dodge | double_jump))
| Factory15Lower","LEFT: WALL_DASH + hook + STALL | STALL + grav + double_jump + dodge | wall_grab + double_jump + STALL | wall_grab + (snow | moon + hook | flower + grav) + dodge | double_jump + wall_grab + hook + ReiBlast

Right: STALL + grav + double_jump + dodge + RONIN | wall_grab + (dodge | double_jump | hook | moon) + STALL | wall_grab + (scythe | (sword | axe) + ReiBlast) + grav | wall_grab + (flower | snow)",
Factory 12,Factory 12 - Cain's Ring,Factory_001_Zone_012.BP_Interactable_TreasureBox_C_1,"passives[""onattack_restorehp_damage_1""]","(Factory05Left | (Factory05Right + (wall_grab | (double_jump + dodge))) 
+ high_jump)",In Progress,Requires access from Factory05,Factory05Upper + (WALL_DASH | high_jump),"IN PROGRESS

this is gonna have some funnnnnnn 
wall_grab + STALL + double_jump + dodge + (grav | moon | snow)? options",
Factory 13,Factory 13 - Charmed Fragment,Factory_001_Zone_013.BP_Interactable_AddItem_C_0,"stats[""hp_up_s""]",((Factory13LowerLeft | Factory13UpperLeft | Factory13Right) + hook + (double_jump | dodge)),In Progress,,"Factory13UpperLeft + (double_jump | dodge)
| Factory13LowerLeft + (high_jump + double_jump + dodge | hook + (double_jump | dodge))
| Factory13Right","UpperLeft: STALL | ReiBlast | Hook + RONIN

LowerLeft: (scythe | axe) + grav + double_jump + (dodge | (moon | snow) + wall_grab)
Hook + (STALL | RONIN)",
Factory 14,Factory 14 - Grimoire,Factory_001_Zone_014.BP_Interactable_TreasureBox_C_1,"stats[""shop_line_up""]",Factory14Left,Done,,N/A,,
Factory 15,Factory 15 - Charmed Fragment,Factory_001_Zone_015.BP_Interactable_AddItem_C_0,"stats[""hp_up_s""]",(Factory12Right | Factory12Left) + high_jump,In Progress,,"Factory15Lower + high_jump
| (Factory15UpperLeft | Factory15Right) + WALL_DASH + double_jump","IN PROGRESS

very easy: STALL + grav + (double_jump | dodge) + RONIN
from left. hook + STALL + grav + (double_jump | dodge) + RONIN

needs to be broken down more

From Right:
double_jump + dodge + STALL
STALL + dodge + snow
scythe + double_jump + snow
ReiBlast + grav + (STALL | RONIN | dodge | double_jump)

From Left:
ReiBlast + grav + (STALL | RONIN | dodge | double_jump) (same, tested with Lazer, its OP)
Hook + double_jump + dodge + STALL
hook + STALL + dodge + snow
hook + scythe + double_jump + snow
double_jump + dodge + STALL + grav + snow

Technically there are more options from Lower (STALL + grav + double_jump + dodge + RONIN + wall_grab) but not sure if really worth including?
With CD relic, using snow twice can reach from Factory12Upper on the Right side, or just once to reach left (near Factory21 Entrance), can then WALL_DASH + double_jump ......",
Factory 15,Factory 15 - Magic Vial,Factory_001_Zone_015.BP_Interactable_AddItem_C_1,"stats[""passive_slot_s""]","Factory15Right + (high_jump | hook + (dodge + double_jump | WALL_DASH)) 
| Factory15UpperLeft + hook + (high_jump | dodge | double_jump | WALL_DASH)
| Factory15Lower + high_jump + (double_jump | dodge | hook)
| Factory16Right + high_jump + WALL_DASH
| Factory17Right + WALL_DASH + (high_jump | hook) ",In Progress,"Also doable from Factory12Upper + dodge | hook | double_jump

Ive removed | Factory16Right + high_jump + WALL_DASH
Since Factory17Right does not require high_jump by default to reach (and is transition-accessible), it makes more sense to use it as the base and build from it instead","Factory15Right + (high_jump | hook + (dodge + double_jump | WALL_DASH)) 
| Factory15UpperLeft + hook + (high_jump | dodge | double_jump | WALL_DASH)
| Factory15Lower + high_jump + (double_jump | dodge | hook)
| Factory17Right + WALL_DASH + (high_jump | hook) ","15Right: snow + wall_grab + (double_jump | (scythe | axe | sword + dodge) + grav)
STALL + grav + double_jump + wall_grab
Hook + (wall_grab | double_jump | dodge | ReiBlast) + RONIN
hook + STALL + (dodge | double_jump | RONIN | ReiBlast + (grav | wall_grab))
STALL + grav + double_jump + dodge + snow
(scythe | axe) + grav + double_jump + dodge + (moon | flower)

15Left : hook + (STALL | RONIN | ReiBlast + grav) (might be doable without grav?)
STALL + grav + double_jump + dodge + snow

15Lower: high_jump + (STALL | RONIN)
STALL + grav + double_jump + dodge + snow - if from the item? it might also require wall_grab if from Factory21 entrance? I dont like this entrance, thinking about excluding altogether TBH outside of high_jump

If WALL_DASH from Factory17, then its basically all logic from Right + WALL_DASH
",
Factory 18,Factory 18 - Miner Enchancement Project,Factory_001_Zone_018.BP_Interactable_AddItem_C_1,"tips[""tip_enhancementplan_01""]",Factory18UpperLeft + high_jump,Done,,N/A,,
Factory 18,Factory 18 - Garm's Ascent,Factory_001_Zone_018.EVT_ev_s_5200_Pounder_Upgrade,"aptitudes[""high_jump""]",Factory18UpperLeft,Done,,N/A,,
Factory 19,Factory 19 - Scrap,Factory_001_Zone_019.BP_Interactable_AddItem_C_1,"currencies[""rare""]",Factory19UpperLeft,Done,,N/A,,
Factory 19,Factory 19 - Levy,Factory_001_Zone_019.BP_Trigger_Event_LevyTreasure_C_0,"quests[""quest_stone""]","Factory19LowerLeft + (hook + (double_jump | dodge | STALL | RONIN | REIBOLG) | STALL + grav + double_jump + dodge
| STALL + grav + double_jump + (moon | flower) | axe + grav + double_jump + REIBOLG | double_jump + snow + scythe + (grav | REIBOLG) | double_jump + snow + axe | double_jump + snow + sword + (grav | dodge + dive))",Unsure,"double_jump + snow + sword + dodge needs to use momentum out of water for higher jump - not sure if we want to include this type of logic

if yes, the suggested logic is Done; otherwise just remove the last line's OR dodge + dive",Finished,"hook options : STALL | RONIN | ReiBlast

Need to add non-hook options!
STALL + grav + double_jump + dodge
STALL + grav + double_jump + (moon | flower)
axe + grav + double_jump + ReiBlast
double_jump + snow + scythe + (grav | ReiBlast)
double_jump + snow + axe
double_jump + snow + sword + (grav | dodge) (need to use momentum out of water for higher jump)",double check REIBOLG (but should be good)
Factory 21,Factory 21 - Milius Lord's Mark,Factory_001_Zone_021.EVT_ev_s_0250_KeyFactory,"keys[""key_higher_b""]",Factory21Right + (double_jump | wall_grab | high_jump | snow | moon | (axe | (sword | scythe) + flower) + dodge | axe + flower | (STALL | flower) + grav),Unsure,"Since WALL_DASH is required to even enter, this is way overkill

Leaving as unsure as technically, the requirement to enter the transition guarantees access. 

If decided to leave requirements empty, then can delete the logic.
If want to add requirements anyway, update to Done.",Finished,,
Factory 21,Factory 21 - Document on the Empyrean Parasol,Factory_001_Zone_021.EVT_ev_s_0250_KeyFactory.1,"tips[""tip_towerumbrella_01""]",Factory21Right + (double_jump | wall_grab | high_jump | snow | moon | (axe | (sword | scythe) + flower) + dodge | axe + flower | (STALL | flower) + grav),Unsure,"Since WALL_DASH is required to even enter, this is way overkill

Leaving as unsure as technically, the requirement to enter the transition guarantees access. 

If decided to leave requirements empty, then can delete the logic.
If want to add requirements anyway, update to Done.",Finished,,
Forest 1,Forest 1 - Crimson Bangle,Forest_001_Zone_001.BP_Interactable_AddItem_C_1,"equipments[""armor_008""]",Forest01UpperDoor,Done,,N/A,,
Forest 2,Forest 2 - Obsolete Core,Forest_001_Zone_002.BP_Interactable_AddItem_C_1,"materials[""parts_lv3_b""]","Forest02UpperRightDoor 
| (Forest02Right | Forest02UpperLeftDoor | Forest02LowerLeftDoor | Forest02LowerDoor) + (high_jump | WALL_DASH | double_jump | axe + (dodge | REIBOLG | flower) | (sword | scythe) + (flower | REIBOLG + dodge) | snow | moon | (flower | STALL | REIBOLG) + grav)",Done,"(scythe | sword) + dodge ""can"" technically reach, but it involves dodging into the wall to push upward",Finished,This can also be used for the transition to Forest02UpperRightDoor!,double check REIBOLG
Forest 2,Forest 2 - Words Etched into Stone,Forest_001_Zone_002.BP_Interactable_AddTutorial_C_1,"tips[""tip_tombstone_01""]",Forest02UpperRightDoor |  Forest02Right | Forest02LowerLeftDoor | Forest02LowerDoor | Forest02UpperLeftDoor,Done,,N/A,,
Forest 4,Forest 4 - Charmed Fragment,Forest_001_Zone_004.BP_Interactable_AddItem_C_1,"stats[""hp_up_s""]","(Forest04LowerLeftDoor | Forest04UpperLeftDoor) + (double_jump | high_jump | (STALL | flower) + grav | moon | snow | wall_grab | dodge + axe)
| (Forest04LowerCenterRightDoor | Forest04UpperRightDoor | Forest04UpperCenterDoor) + (high_jump | wall_grab | dodge + snow | STALL + (snow | dodge + (double_jump | RONIN)) | dodge + grav + (sword + REIBOLG | axe | scythe) | double_jump + (snow | STALL + (moon | flower | grav) | dodge + (flower | moon | lazer + grav)))",Done,"sword + dodge + grav + REIBOLG is difficult but doable

wall_grab from lower with no reqs is very tight jump like perfect spacing.

scythe (or sword?) + dodge + pile_attack or leg enhancement might be ok",Finished,,"double check lazer -> REIBOLG ; 
May need to split ReiBlast if Blaster is not possible."
Forest 7,Forest 7 - Chain Belt,Forest_001_Zone_007.BP_Interactable_AddItem_C_1,"passives[""damage_up_grounded_1""]",Forest07Left,Done,,N/A,,
Forest 9,Forest 9 - Charmed Fragment,Forest_001_Zone_009.BP_Interactable_AddItem_C_1,"stats[""hp_up_s""]","Forest09LowerRight + TORRENT + (wall_grab | high_jump | STALL + grav + dodge + RONIN | double_jump + (moon | snow | axe + dodge | STALL + grav)) 
| ((Forest09LeftDoor | Forest09CenterLeftDoor | Forest09CenterDoor) 
| Forest09UpperRightDoor + (dodge | double_jump | WALL_DASH | RONIN | STALL | lazer | dash_charge) 
| Forest09CenterRightDoor + (high_jump | wall_grab | STALL + grav + dodge + RONIN | double_jump + (moon | snow | axe + dodge | STALL + grav))) 
+ dive",Unsure,"do we want dash_charge with no dash_charge wall logic? or should this just be sprint/run?

Labeled as Unsure based on whether to keep dash_charge option from UpperRightDoor

REMEMBER : TORRENT = dive + dodge + dash_charge_underwater

MEANING : dodge is implicitly included for LowerRight

I've included the logic with dodge in each variation in the notes column for review/reference. This also includes breaking down STALL into (sword | scythe)

This could be rewritten for better understanding to split TORRENT into dive + dodge + dash_charge_underwater if desired.",Finished,"Forest09LowerRight + TORRENT + (wall_grab | high_jump | STALL + grav + dodge + RONIN | double_jump + (moon | snow | axe + dodge | STALL + grav)) 
| ((Forest09LeftDoor | Forest09CenterLeftDoor | Forest09CenterDoor) 
| (Forest09UpperRightDoor + (dodge | double_jump | WALL_DASH | RONIN | STALL | ReiBlast | dash_charge)) 
| (Forest09CenterRightDoor + (high_jump | wall_grab | STALL + grav + dodge + RONIN | double_jump + (moon | snow | axe + dodge | STALL + grav))) 
+ dive",double check lazer -> REIBOLG
Forest 9,Forest 9 - Materials,Forest_001_Zone_009.BP_Interactable_AddItem_C_3,"currencies[""Default""]","Forest09LowerRight + TORRENT 
| (Forest09CenterRightDoor 
| Forest09UpperRightDoor + (double_jump | dodge | WALL_DASH | RONIN | STALL | lazer | dash_charge) 
| Forest09CenterLeftDoor + (double_jump | dodge | high_jump | WALL_DASH | RONIN | STALL | lazer + grav) 
| (Forest09LeftDoor | Forest09CenterDoor) + (high_jump | WALL_DASH | axe + double_jump + (wall_grab | dodge) | double_jump + (snow | moon) + (grav | wall_grab | STALL) | (scythe | axe) + grav + (double_jump | dodge + (wall_grab | RONIN) | (moon | snow) + wall_grab) | sword + grav + (double_jump | dodge + (moon | snow | flower + wall_grab) | (moon | snow) + wall_grab))) 
+ dive",Unsure,"do we want dash_charge with no dash_charge wall logic? or should this just be sprint/run?

ReiBlast + grav from CenterLeftDoor may not work with Blaster

Labeled as Unsure based on whether to keep dash_charge option from UpperRightDoor & ReiBlast Blast test

REMEMBER : TORRENT = dive + dodge + dash_charge_underwater

MEANING : dodge is implicitly included for LowerRight

I've included the logic with dodge in each variation in the notes column for review/reference.

This could be rewritten for better understanding to split TORRENT into dive + dodge + dash_charge_underwater if desired.",Finished,,"doube check lazer -> REIBOLG ;
May need to split ReiBlast if Blaster is not possible."
Forest 9,Forest 9 - Effigy,Forest_001_Zone_009.BP_Interactable_AddItem_C_5,"passives[""damage_cut_minhp_1""]","Forest09LeftDoor | Forest09CenterDoor | Forest09CenterLeftDoor 
| Forest09UpperRightDoor + (dodge | double_jump | WALL_DASH | STALL | RONIN | lazer | dash_charge)
| Forest09LowerRight + TORRENT + (high_jump | wall_grab | STALL + grav + dodge + RONIN | double_jump + (moon | snow | axe + dodge | STALL + grav))
| Forest09CenterRightDoor + (high_jump | wall_grab | STALL + grav + dodge + RONIN | double_jump + (moon | snow | axe + dodge | STALL + grav))",Unsure,"do we want dash_charge with no dash_charge wall logic? or should this just be sprint/run?

Labeled as Unsure based on whether to keep dash_charge option from UpperRightDoor

REMEMBER : TORRENT = dive + dodge + dash_charge_underwater

MEANING : dodge is implicitly included for LowerRight

I've included the logic with dodge in each variation in the notes column for review/reference. This also includes breaking down STALL into (sword | scythe)

This could be rewritten for better understanding to split TORRENT into dive + dodge + dash_charge_underwater if desired.",Finished,"Forest09LeftDoor | Forest09CenterDoor | Forest09CenterLeftDoor 
| Forest09UpperRightDoor + (dodge | double_jump | WALL_DASH | STALL | RONIN | ReiBlast | dash_charge)
| Forest09LowerRight + TORRENT + (high_jump | wall_grab | STALL + grav + dodge + RONIN | double_jump + (moon | snow | axe + dodge | STALL + grav))
| Forest09CenterRight + (high_jump | wall_grab | STALL + grav + dodge + RONIN | double_jump + (moon | snow | axe + dodge | STALL + grav))",double check lazer -> REIBOLG
Forest 10,Forest 10 - Charmed Fragment,Forest_001_Zone_010.BP_Interactable_AddItem_C_1,"stats[""hp_up_s""]",Forest10RightDoor,Done,,N/A,,
Forest 10,Forest 10 - Materials,Forest_001_Zone_010.BP_Interactable_AddItem_C_2,"currencies[""Default""]","Forest10CenterDoor 
| (Forest10RightDoor | Forest10LowerLeftDoor) + (high_jump | double_jump | axe + (REIBOLG | dodge) | moon | snow | grav + (STALL | flower | REIBOLG))
| Forest10UpperLeftDoor + (high_jump | double_jump | wall_grab + (dodge | wall_charge | STALL | REIBOLG) | STALL + (dodge | grav) | RONIN | REIBOLG + (axe | grav))",Done,,Finished,,double check REIBOLG
