Room,Door,Lead to,Logic,Status,Notes,,Original (before Aloha edits),Final Logic ?
Estate 5,Estate05Lower,Estate02Upper,None,Done,,,,None
Estate 6,Estate06Lower,Estate09Upper,Estate06Right + dive,Done,,,,Estate06Right + dive
Estate 6,Estate06Right,Estate03LowerLeft,Estate06Lower + Estate06Right_Lever,Done,,,,Estate06Lower + Estate06Right_Lever
Estate 7,Estate07Lower,Estate12Upper,Estate07LowerRight + dive,Done,,,,Estate07LowerRight + dive
Estate 7,Estate07LowerRight,Estate08Left,Estate07Lower + dive,Done,,,,Estate07Lower + dive
Estate 7,Estate07UpperRight,Estate01Left,None,Done,,,,None
Estate 8,Estate08Left,Estate07LowerRight,(Estate08Upper | Estate08Right) + dive,Done,,,,(Estate08Upper | Estate08Right) + dive
Estate 8,Estate08Right,Estate09UpperLeft,(Estate08Upper | Estate08Left) + dive,Done,,,,(Estate08Upper | Estate08Left) + dive
Estate 8,Estate08Upper,Estate01Lower,(Estate08Left | Estate08Right) + dive,Done,,,,(Estate08Left | Estate08Right) + dive
Estate 9,Estate09HiddenRight,Estate10Left,(Estate09LowerLeft | Estate09Upper | Estate09UpperLeft) + dive,Done,,,,(Estate09LowerLeft | Estate09Upper | Estate09UpperLeft) + dive
Estate 9,Estate09LowerLeft,Estate11Right,(Estate09HiddenRight | Estate09Upper | Estate09UpperLeft) + dive,Done,,,,(Estate09HiddenRight | Estate09Upper | Estate09UpperLeft) + dive
Estate 9,Estate09Upper,Estate06Lower,(Estate09HiddenRight | Estate09LowerLeft | Estate09UpperLeft) + dive,Done,,,,(Estate09HiddenRight | Estate09LowerLeft | Estate09UpperLeft) + dive
Estate 9,Estate09UpperLeft,Estate08Right,(Estate09HiddenRight | Estate09LowerLeft | Estate09Upper) + dive,Done,,,,(Estate09HiddenRight | Estate09LowerLeft | Estate09Upper) + dive
Estate 10,Estate10Left,Estate09HiddenRight,None,Done,,,,None
Estate 11,Estate11Left,Estate12Right,Estate11Right + dive,Done,,,,Estate11Right + dive
Estate 11,Estate11Right,Estate09LowerLeft,Estate11Left + dive,Done,,,,Estate11Left + dive
Estate 12,Estate12Left,Forest09LowerRight,(Estate12Right | Estate12Upper) + dive,Done,,,,(Estate12Right | Estate12Upper) + dive
Estate 12,Estate12Right,Estate11Left,(Estate12Left | Estate12Upper) + dive,Done,,,,(Estate12Left | Estate12Upper) + dive
Estate 12,Estate12Upper,Estate07Lower,(Estate12Left | Estate12Right) + dive,Done,,,,(Estate12Left | Estate12Right) + dive
Factory 1,Factory01Left,Factory02UpperRight,None,Done,,,,None
Factory 2,Factory02HiddenCenterRight,Factory19UpperLeft,"(Factory02UpperRight | Factory02UpperCenterRight | Factory02UpperLeft) + (high_jump | wall_grab)
| (Factory02LowerLeft | Factory02LowerRight) + (high_jump | hook + wall_grab)",Done,removed hook as not required for upper locations; replaced with high_jump option,,"((Factory02UpperRight | Factory02UpperCenterRight | Factory02UpperLeft) + (hook | wall_grab))
| ((Factory02LowerLeft | Factory02LowerRight) + (high_jump | hook + wall_grab))","((Factory02UpperRight | Factory02UpperCenterRight | Factory02UpperLeft) + (high_jump | wall_grab))
| ((Factory02LowerLeft | Factory02LowerRight) + (high_jump | hook + wall_grab))"
Factory 2,Factory02LowerLeft,Factory04Right,"(Factory02UpperLeft | Factory02LowerRight | Factory02HiddenCenterRight | Factory02UpperCenterRight | Factory02UpperRight) 
+ dive",Done,,,,"(Factory02UpperLeft | Factory02LowerRight | Factory02HiddenCenterRight | Factory02UpperCenterRight | Factory02UpperRight) 
+ dive"
Factory 2,Factory02LowerRight,Factory19LowerLeft,Factory02UpperLeft | Factory02LowerLeft | Factory02HiddenCenterRight| Factory02UpperCenterRight | Factory02UpperRight,Done,dive is not required - removed,,"(Factory02UpperLeft | Factory02LowerLeft | Factory02HiddenRight | Factory02UpperCenterRight | Factory02UpperRight) 
+ dive",Factory02UpperLeft | Factory02LowerLeft | Factory02HiddenCenterRight | Factory02UpperCenterRight | Factory02UpperRight
Factory 2,Factory02UpperCenterRight,Factory03Left,"Factory02UpperLeft | Factory02UpperRight | Factory02HiddenCenterRight 
| (Factory02LowerLeft | Factory02LowerRight) + (high_jump | hook)",Done,"separated hiddenRight out, doesnt need any logic (combined with UpperLeft/Right)",,"((Factory02LowerLeft | Factory02LowerRight | Factory02HiddenRight) + (high_jump | hook)) 
| (Factory02UpperLeft | Factory02UpperRight)","Factory02UpperLeft | Factory02UpperRight | Factory02HiddenCenterRight 
| (Factory02LowerLeft | Factory02LowerRight) + (high_jump | hook)"
Factory 2,Factory02UpperLeft,Factory05Right,"(Factory02LowerLeft | Factory02LowerRight) + (high_jump | hook)
| (Factory02HiddenCenterRight | Factory02UpperLeft | Factory02UpperRight) + (high_jump | hook | WALL_DASH + double_jump + dodge)
| Factory01Left + WALL_DASH + double_jump",Unsure,Can WALL_DASH from Factory01,"Factory01Left can also be double_jump (no dodge)

Removed high_jump from Factory01Left since it is not unique to the main room's logic requirements","((Factory02LowerLeft | Factory02LowerRight | Factory02HiddenRight | Factory02UpperLeft | Factory02UpperRight) + (high_jump | hook)) 
| (Factory01Left + (double_jump + dodge + WALL_DASH))","(Factory02LowerLeft | Factory02LowerRight) + (high_jump | hook)
| (Factory02HiddenCenterRight | Factory02UpperLeft | Factory02UpperRight) + (high_jump | hook | WALL_DASH + double_jump + dodge)
| Factory01Left + WALL_DASH + double_jump"
Factory 2,Factory02UpperRight,Factory01Left,"Factory02UpperLeft + (wall_grab + double_jump | high_jump | WALL_DASH) 
| (Factory02LowerLeft | Factory02LowerRight) + (hook + wall_grab + double_jump | high_jump)
| (Factory02UpperCenterRight | Factory02HiddenCenterRight) + (double_jump + wall_grab | high_jump)",Done,"Added Missing Factory02HiddenCenterRight
Parenthesis could prob use a review",,"((Factory02UpperLeft + ((wall_grab + double_jump) | high_jump) | WALL_DASH) 
| ((Factory02LowerLeft | Factory02LowerRight) + ((hook + wall_grab + double_jump) | high_jump))
| (Factory02UpperCenterRight + (double_jump + wall_grab) | high_jump))","(Factory02UpperLeft + (wall_grab + double_jump | high_jump | WALL_DASH))
| ((Factory02LowerLeft | Factory02LowerRight) + (hook + wall_grab + double_jump | high_jump))
| ((Factory02UpperCenterRight | Factory02HiddenCenterRight) + (double_jump + wall_grab | high_jump))"
Factory 3,Factory03Left,Factory02UpperCenterRight,Factory03Right,Done,,,,Factory03Right
Factory 3,Factory03Right,Garden14Left,Factory03Left + (double_jump | high_jump | wall_grab),Done,,,,Factory03Left + (double_jump | high_jump | wall_grab)
Factory 4,Factory04Left,Factory06Right,Factory04Right,Done,,,,Factory04Right
Factory 4,Factory04Right,Factory02LowerLeft,Factory04Left + dive,Done,,,,Factory04Left + dive
Factory 5,Factory05Left,Factory09Right,Factory05Upper | (Factory05Right + wall_grab | high_jump | (dodge + double_jump)),Done,,,,Factory05Upper | Factory05Right + (wall_grab | high_jump | dodge + double_jump)
Factory 5,Factory05Right,Factory02UpperLeft,(Factory05Left | Factory05Upper) + (double_jump | wall_grab | high_jump),Done,Should we be using worst case scenario being boxes are broken during combat locking certain movement through this room,"If not, can be done without any additional movement (just basic jump)
if yes, then dodge is not sufficient (removed)
Updated FactoryLeft -> Factory05Left",(FactoryLeft | Factory05Upper) + (dodge | double_jump | wall_grab | high_jump),(Factory05Left | Factory05Upper) + (double_jump | wall_grab | high_jump)
Factory 5,Factory05Upper,Factory12Lower,(Factory05Left | Factory05Right) + high_jump,Done,removed Factory05Right conditions : (wall_grab | (double_jump + dodge)); just high_jump,I think theres technically a WALL_DASH from 09,"(Factory05Left 
| (Factory05Right + (wall_grab | (double_jump + dodge))) 
+ high_jump)",(Factory05Left | Factory05Right) + high_jump
Factory 6,Factory06LowerLeft,Factory10Right,Factory06Right | Factory06UpperLeft | Factory06Upper,Done,Should include double_jump | dodge? otherwise (some) swimming in lava...,,,Factory06Right | Factory06UpperLeft | Factory06Upper
Factory 6,Factory06Right,Factory04Left,"(Factory06LowerLeft + (double_jump | dodge | wall_grab)) 
| ((Factory06UpperLeft | Factory06Upper) + (double_jump | dodge | wall_grab | dash_charge))",Done,"Should we include dash_charge from upper platforms to reach the lower right?

Aloha - I would vote to remove dash_charge, unless we wanted to add it as a sprint stand-in, then a lot of logic needs to be touched up

Changed: renamed Left to LowerLeft, added wall_grab for lava swimming PAIN","Factory06Left requires swimming in lava if only dodge... can also be | wall_grab if thats the case
From Factory06Upper, the absolute easiest is just WALL_DASH","(Factory06Left + (double_jump | dodge)) 
| ((Factory06UpperLeft | Factory06Upper) + (double_jump | dodge | wall_grab | dash_charge))","(Factory06LowerLeft + (double_jump | dodge | wall_grab)) 
| ((Factory06UpperLeft | Factory06Upper) + (double_jump | dodge | wall_grab | dash_charge))"
Factory 6,Factory06Upper,Factory09Lower,"(Factory06LowerLeft | Factory06Right) + (double_jump + dodge + (high_jump | hook) | WALL_DASH + (high_jump | double_jump) | high_jump + hook + (dodge | double_jump)) 
| Factory06UpperLeft + ((hook | WALL_DASH) + (double_jump | dodge)) | high_jump + (WALL_DASH | dodge + double_jump)",Done,"I dont think high_jump by itself is enough
dont think WALL_DASH + dodge is enough from lower
Changed: renamed Left to LowerLeft

Scenarios written out in column G, should be covered in Logic","Scenarios I came up with...
high_jump + (WALL_DASH | dodge + double_jump)
hook + (dodge | double_jump) (from UpperLeft) 
WALL_DASH + (double_jump | dodge) (from UpperLeft) 
high_jump + hook + (dodge | double_jump) (LowerLeft | LowerRight)
hook + dodge + double_jump (from LowerLeft | Right)
WALL_DASH + double_jump (from LowerLeft | Right)","((Factory06Left | Factory06Right) + (double_jump + dodge + (high_jump | hook) | (high_jump | WALL_DASH + (double_jump | dodge)))) 
| (Factory06UpperLeft + (hook + (double_jump | dodge)) | (WALL_DASH + (dodge | double_jump)) | high_jump)","(Factory06LowerLeft | Factory06Right) + (double_jump + dodge + (high_jump | hook) | WALL_DASH + (high_jump | double_jump) | high_jump + hook + (dodge | double_jump)) 
| Factory06UpperLeft + ((hook | WALL_DASH) + (double_jump | dodge) | high_jump + (WALL_DASH | dodge + double_jump))"
Factory 6,Factory06UpperLeft,Factory07Right,"(Factory06LowerLeft | Factory06Right) + (double_jump + dodge | high_jump) 
| Factory06Upper",Done,Renamed left to lowerleft,,"((Factory06Left | Factory06Right) + ((double_jump + dodge) | high_jump)) 
| Factory06Upper","((Factory06LowerLeft | Factory06Right) + ((double_jump + dodge) | high_jump)) 
| Factory06Upper"
Factory 7,Factory07Left,Factory08UpperRight,Factory07Right,Done,,,,Factory07Right
Factory 7,Factory07Right,Factory06UpperLeft,Factory07Left,Done,,,,Factory07Left
Factory 8,Factory08LowerRight,Factory10Left,Factory08UpperRight + (dodge | double_jump),Done,Removed hook,,Factory08UpperRight + ((hook + dodge) | double_jump),Factory08UpperRight + (dodge | double_jump)
Factory 8,Factory08UpperRight,Factory07Left,Factory08LowerRight + ((hook | double_jump) + dodge),Done,Added double_jump hook optional,,Factory08LowerRight + (hook + dodge),Factory08LowerRight + ((hook | double_jump) + dodge)
Factory 9,Factory09Lower,Factory06Upper,Factory09Right | Factory09Upper,Done,,,,Factory09Right | Factory09Upper
Factory 9,Factory09Right,Factory05Left,Factory09Lower | Factory09Upper,Done,,,,Factory09Lower | Factory09Upper
Factory 9,Factory09Upper,Factory11Lower,"(Factory09Lower | Factory09Right) 
+ high_jump | (double_jump + wall_grab + hook + (dodge | wall_charge))",Done,"Hook not needed if you have dodge but is a tight jump, probably shouldn't include in basic logic","Agreed, is tight jump... but also not really ""punished"" by missing it a few times

this is fully doable without dodge | wall_charge, but the double_jump is very precise; should either be removed from here, or added to Locations Logic requirement for Factory09 Item (to be consistent)",,"(Factory09Lower | Factory09Right) 
+ (high_jump | double_jump + wall_grab + hook + (dodge | wall_charge))"
Factory 10,Factory10Left,Factory08LowerRight,Factory10Right,Done,,,,Factory10Right
Factory 10,Factory10Right,Factory06LowerLeft,Factory10Left,Done,,,,Factory10Left
Factory 11,Factory11Lower,Factory09Upper,Factory11Right,Done,,,,Factory11Right
Factory 11,Factory11Right,Factory12Left,Factory11Lower,Done,,,,Factory11Lower
Factory 12,Factory12Left,Factory11Right,"(Factory12Upper | Factory12Right) 
+ (high_jump | hook | (WALL_DASH + double_jump))",Done,,,,"(Factory12Upper | Factory12Right) 
+ (high_jump | hook | (WALL_DASH + double_jump))"
Factory 12,Factory12Lower,Factory05Upper,None,Done,,,,None
Factory 12,Factory12Right,Factory13LowerLeft,(Factory12Left | Factory12Upper) + high_jump | (wall_grab + double_jump + (wall_charge | (dodge + hook))),Done,Factory12Upper could skip some requirements but I have tested using a straight fall (dodge | djump could get us to right exit),"even WALL_DASH alone is doable (if entering from left side of Factory15)
Aloha - IMO its ok to have higher requirements , but might have to consider implications",,(Factory12Left | Factory12Upper) + (high_jump | wall_grab + double_jump + (wall_charge | dodge + hook))
Factory 12,Factory12Upper,Factory15Lower,(Factory12Left | Factory12Right) + high_jump,Done,"Kind of need double_jump | dodge | hook to actually really ""enter"" (aside from the 1 item check which can WALL_DASH from there into high_jump + (double_jump | hook))",Adding Parenthesis,Factory12Left | Factory12Right + high_jump,(Factory12Left | Factory12Right) + high_jump
Factory 13,Factory13LowerLeft,Factory12Right,"(Factory13UpperLeft | Factory13Right) 
+ (wall_grab | high_jump)",Done,,,,"(Factory13UpperLeft | Factory13Right) 
+ (wall_grab | high_jump)"
Factory 13,Factory13Right,Factory14Left,(Factory13LowerLeft | Factory13UpperLeft) + (double_jump + (WALL_DASH | dodge)) + hook,Done,Should this room require softlock preventtion if we fall to the bottom (always require high_jump or wall_grab)?,,,(Factory13LowerLeft | Factory13UpperLeft) + (double_jump + (WALL_DASH | dodge)) + hook
Factory 13,Factory13UpperLeft,Factory15Right,(Factory13Right | Factory13LowerLeft) + hook,Done,,,,Factory13Right | Factory13LowerLeft + hook
Factory 14,Factory14Left,Factory13Right,None,Done,,,,None
Factory 15,Factory15Lower,Factory12Upper,Factory15UpperLeft | Factory15Right,Done,,Not sure LowerLeft needs to be included here,Factory15LowerLeft | Factory15UpperLeft | Factory15Right,Factory15UpperLeft | Factory15Right
Factory 15,Factory15LowerLeft,Factory21Right,"(Factory15UpperLeft | Factory15Right) + (double_jump | dodge) + WALL_DASH
| Factory15Lower + high_jump + WALL_DASH",Unsure,Can only dash from a platform reached from the room below,"You don't have to reach it from the room below though
And thinking might want to use Factory12Upper? or even Factory15Lower?",Factory12Right + high_jump + WALL_DASH,"(Factory15UpperLeft | Factory15Right) + (double_jump | dodge) + WALL_DASH
| Factory15Lower + high_jump + WALL_DASH"
Factory 15,Factory15Right,Factory13UpperLeft,"Factory15UpperLeft + hook 
| Factory15Lower + high_jump + (double_jump | dodge | hook)
| Factory16Right + high_jump + WALL_DASH
| Factory17Right + WALL_DASH",Unsure,Can WALL_DASH from Factory16 (high_jump + WALL_DASH) or Factory17Right + WALL_DASH,"Slight parenthesis change
LowerLeft is blocked by WALL_DASH , so not sure if needed?

This might be cooking a little too much","(Factory15UpperLeft 
| (Factory15LowerLeft + high_jump) 
+ hook)","Factory15UpperLeft + hook 
| Factory15Lower + high_jump + (double_jump | dodge | hook)
| Factory16Right + high_jump + WALL_DASH
| Factory17Right + WALL_DASH"
Factory 15,Factory15UpperLeft,Factory16Right,"Factory15Right + (WALL_DASH | hook + (high_jump | double_jump + dodge)) 
| Factory15Lower + high_jump + (double_jump + dodge | hook)",Done,,"LowerLeft is blocked in base state, updating to Lower;
Although TBH, it might be something very exact, not sure if double_jump + dodge reach? at least not without wall_grab as well
If actually intending to route from LowerLeft, then high_jump + double_jump suffices","(Factory15Right + (WALL_DASH | ( hook + (high_jump | (double_jump + dodge))))) 
| (Factory15LowerLeft + high_jump + (double_jump | hook))","Factory15Right + (WALL_DASH | hook + (high_jump | double_jump + dodge)) 
| Factory15Lower + high_jump + (double_jump + dodge | hook)"
Factory 16,Factory16Left,Factory17Right,Factory16Right,Done,,,,Factory16Right
Factory 16,Factory16Right,Factory15UpperLeft,Factory16Left,Done,,,,Factory16Left
Factory 17,Factory17LowerLeft,Factory18UpperLeft,Factory17Right | Factory17LowerRight,Done,,,,Factory17Right | Factory17LowerRight
Factory 17,Factory17LowerRight,Factory18UpperRight,None,Done,,,,None
Factory 17,Factory17Right,Factory16Left,Factory17LowerLeft | Factory17LowerRight,Done,,,,Factory17LowerLeft | Factory17LowerRight
Factory 18,Factory18UpperLeft,Factory17LowerLeft,None,Done,,,,None
Factory 18,Factory18UpperRight,Factory17LowerRight,Factory18UpperLeft + high_jump,Done,,,,Factory18UpperLeft + high_jump
Factory 19,Factory19LowerLeft,Factory02LowerRight,None,Done,,,,None
Factory 19,Factory19UpperLeft,Factory02HiddenCenterRight,None,Done,,,,None
Factory 21,Factory21Right,Factory15LowerLeft,None,Done,,,,None
Forest 1,Forest01Left,Tower17Right,Forest01RightDoor | Forest01UpperDoor,Done,,,,Forest01RightDoor | Forest01UpperDoor
Forest 1,Forest01RightDoor,Forest02LowerLeftDoor,Forest01UpperDoor | (Forest01Left + (high_jump | double_jump | wall_grab)),Done,,,,Forest01UpperDoor | (Forest01Left + (high_jump | double_jump | wall_grab))
Forest 1,Forest01UpperDoor,Forest12LeftDoor,None,Done,,,,None
Forest 2,Forest02LowerDoor,Forest04UpperCenterDoor,Forest02LowerLeftDoor | Forest02UpperLeftDoor | Forest02Right | Forest02UpperRightDoor,Done,,,,Forest02LowerLeftDoor | Forest02UpperLeftDoor | Forest02Right | Forest02UpperRightDoor
Forest 2,Forest02LowerLeftDoor,Forest01RightDoor,Forest02LowerDoor | Forest02UpperLeftDoor | Forest02Right | Forest02UpperRightDoor,Done,,,,Forest02LowerDoor | Forest02UpperLeftDoor | Forest02Right | Forest02UpperRightDoor
Forest 2,Forest02Right,Forest03Left,(Forest02LowerLeftDoor | Forest02UpperLeftDoor | Forest02LowerDoor | Forest02UpperRightDoor) + Forest02Right_Lever,Done,,,,(Forest02LowerLeftDoor | Forest02UpperLeftDoor | Forest02LowerDoor | Forest02UpperRightDoor) + Forest02Right_Lever
Forest 2,Forest02UpperLeftDoor,Forest06CenterDoor,Forest02LowerLeftDoor | Forest02LowerDoor | Forest02UpperRightDoor | Forest02Right,Done,,,,Forest02LowerLeftDoor | Forest02LowerDoor | Forest02UpperRightDoor | Forest02Right
Forest 2,Forest02UpperRightDoor,Forest05CenterLowerDoor,(Forest02LowerLeftDoor | Forest02LowerDoor | Forest02Right | Forest02UpperLeftDoor) + (WALL_DASH | double_jump | high_jump),Done,Added double jump | high_jump | WALL_DASH to all,,Forest02LowerLeftDoor | Forest02LowerDoor | Forest02UpperLeftDoor | Forest02Right,(Forest02LowerLeftDoor | Forest02LowerDoor | Forest02Right | Forest02UpperLeftDoor) + (WALL_DASH | double_jump | high_jump)
Forest 3,Forest03Left,Forest02Right,Forest03LowerRightDoor | Forest03UpperRightDoor | Forest03UpperDoor,Done,,,,Forest03LowerRightDoor | Forest03UpperRightDoor | Forest03UpperDoor
Forest 3,Forest03LowerRightDoor,Forest09CenterRightDoor,(Forest03Left | Forest03UpperRightDoor | Forest03UpperDoor) + Forest03Right_Lever,Done,,,,(Forest03Left | Forest03UpperRightDoor | Forest03UpperDoor) + Forest03Right_Lever
Forest 3,Forest03UpperDoor,Forest07LeftDoor,"Forest03UpperRightDoor + (double_jump | high_jump | dodge)
| (Forest03Left | Forest03LowerRightDoor) + (double_jump | high_jump)",Done,,,,"Forest03UpperRightDoor + (double_jump | high_jump | dodge)
| (Forest03Left | Forest03LowerRightDoor) + (double_jump | high_jump)"
Forest 3,Forest03UpperRightDoor,Forest19LeftDoor,"Forest03UpperDoor + (double_jump | high_jump | dodge) 
| (Forest03Left | Forest03LowerRightDoor) + (double_jump | high_jump)",Done,,,,"Forest03UpperDoor + (double_jump | high_jump | dodge) 
| (Forest03Left | Forest03LowerRightDoor) + (double_jump | high_jump)"
Forest 4,Forest04LowerCenterLeftDoor,Forest09CenterLeftDoor,"(Forest04UpperLeftDoor | Forest04LowerLeftDoor) 
| ((Forest04UpperCenterDoor | Forest04LowerCenterRightDoor | Forest04UpperRightDoor) 
+ (high_jump | wall_grab))",Done,,,,"(Forest04UpperLeftDoor | Forest04LowerLeftDoor) 
| ((Forest04UpperCenterDoor | Forest04LowerCenterRightDoor | Forest04UpperRightDoor) 
+ (high_jump | wall_grab))"
Forest 4,Forest04LowerCenterRightDoor,Forest09CenterDoor,"Forest04UpperCenterDoor | Forest04UpperRightDoor 
| ((Forest04LowerLeftDoor | Forest04UpperLeftDoor) 
+ (high_jump | double_jump | WALL_DASH))",Done,,,,"Forest04UpperCenterDoor | Forest04UpperRightDoor 
| ((Forest04LowerLeftDoor | Forest04UpperLeftDoor) 
+ (high_jump | double_jump | WALL_DASH))"
